following per capita,18 to 24,,,,,,
0.00001297,0.1002,,,,,,
0.00005547,0.0955,,,,,,
0.00004434,0.1048,,,,,,
0.00014053,0.0985,,,,,,
0.00043576,0.0922,,,,,,
0.00000042,0.1002,,,slope,0.436469785,0.099513659,intercept
0.00000231,0.1023,,,plus or minus,0.336452478,0.000262242,plus or minus
0.0000481,0.1053,,,r^2,0.0035984,0.00545112,s(y)
0.00004397,0.1001,,,F,1.682910062,466,degrees of freedom
0.00006447,0.0937,,,regression ss,5.00072E-05,0.013847054,residual ss
0.00128836,0.0983,,,,,,
0.00118748,0.0953,,,,,,
0.00000204,0.1053,,,,,,
0.00000887,0.1023,,,,,,
0.00000761,0.0925,,,,,,
0.00000338,0.0953,,,,,,
0.00040399,0.0985,,,,,,
0.00004299,0.0993,,,,,,
0.00009328,0.0974,,,,,,
0.00010161,0.1024,,,,,,
0.00028065,0.0955,,,,,,
0.00009268,0.1002,,,,,,
0.00002776,0.1023,,,,,,
0.00003437,0.1151,,,,,,
0.00001311,0.0985,,,,,,
0.0000159,0.1001,,,,,,
0.00002559,0.1048,,,,,,
0.00074566,0.0948,,,,,,
0.00006276,0.0925,,,,,,
0.00374819,0.1005,,,,,,
0.0005713,0.0925,,,,,,
0.00062411,0.0993,,,,,,
0.00022461,0.1001,,,,,,
0.00068169,0.1056,,,,,,
0.00000974,0.097,,,,,,
0.00013116,0.0993,,,,,,
0.00040197,0.1053,,,,,,
0.0007843,0.0985,,,,,,
0.00017633,0.0955,,,,,,
0.00041506,0.1002,,,,,,
0.00010503,0.1002,,,,,,
0.00009149,0.0915,,,,,,
0.00020961,0.0937,,,,,,
0.00000078,0.099,,,,,,
0.00003167,0.0985,,,,,,
0.00006061,0.0952,,,,,,
0.00014689,0.1016,,,,,,
0.00001126,0.1002,,,,,,
0.00013732,0.0971,,,,,,
0.00000099,0.1053,,,,,,
0.00000183,0.1053,,,,,,
0.00070427,0.0985,,,,,,
0,0.0967,,,,,,
0.00002425,0.0965,,,,,,
0.00046771,0.1013,,,,,,
0.00007688,0.0953,,,,,,
0.00001889,0.1001,,,,,,
0.00018595,0.1029,,,,,,
0.00006724,0.1002,,,,,,
0.00004782,0.0985,,,,,,
0.00003706,0.1016,,,,,,
0.00009976,0.1028,,,,,,
0.00004735,0.0985,,,,,,
0.0000405,0.0955,,,,,,
0.00020982,0.0982,,,,,,
0.00039006,0.0873,,,,,,
0.0000186,0.1053,,,,,,
0.00001011,0.1024,,,,,,
0.00000601,0.0925,,,,,,
0.00110886,0.1002,,,,,,
0.00043443,0.0912,,,,,,
0.00002402,0.1023,,,,,,
0.00011386,0.1023,,,,,,
0.0000088,0.1016,,,,,,
0.00033262,0.1023,,,,,,
0.00000706,0.1053,,,,,,
0.00005811,0.0983,,,,,,
0.00005655,0.1023,,,,,,
0.00005528,0.1023,,,,,,
0.00000738,0.1053,,,,,,
0.00011776,0.1024,,,,,,
0.00004664,0.0955,,,,,,
0.00048545,0.0915,,,,,,
0.0000133,0.0993,,,,,,
0.0000572,0.0955,,,,,,
0.00008051,0.1002,,,,,,
0.00801049,0.1151,,,,,,
0.00029171,0.097,,,,,,
0.00001912,0.1002,,,,,,
0.0000219,0.1053,,,,,,
0.00081069,0.1013,,,,,,
0.00006268,0.114,,,,,,
0.00010219,0.0974,,,,,,
0.0001147,0.1013,,,,,,
0.00003212,0.0993,,,,,,
0.00001575,0.1023,,,,,,
0.00000155,0.1024,,,,,,
0.00003004,0.1001,,,,,,
0.00000185,0.1053,,,,,,
0.00007167,0.0974,,,,,,
0.00031204,0.1204,,,,,,
0.00007456,0.1023,,,,,,
0.00014148,0.0937,,,,,,
0.00140227,0.097,,,,,,
0.00016844,0.0915,,,,,,
0.00009652,0.0985,,,,,,
0.00001054,0.1023,,,,,,
0.00000228,0.0993,,,,,,
0.00005331,0.0971,,,,,,
0.00000713,0.0925,,,,,,
0.0000384,0.1002,,,,,,
0.00004436,0.0925,,,,,,
0.0000284,0.1053,,,,,,
0.00045015,0.0965,,,,,,
0.00024173,0.1029,,,,,,
0.00006272,0.0955,,,,,,
0.0000287,0.0967,,,,,,
0.00003741,0.0961,,,,,,
0.00002424,0.0971,,,,,,
0.0000123,0.0965,,,,,,
0.00005037,0.0925,,,,,,
0.0000996,0.0971,,,,,,
0.00001182,0.1024,,,,,,
0.00000604,0.1053,,,,,,
0.00041489,0.0993,,,,,,
0.00029204,0.0948,,,,,,
0.00003239,0.0965,,,,,,
0.00045863,0.0985,,,,,,
0.00000086,0.0971,,,,,,
0.0001108,0.0915,,,,,,
0.00001087,0.1053,,,,,,
0.00006889,0.0993,,,,,,
0.00000327,0.1053,,,,,,
0.00003113,0.099,,,,,,
0.00063267,0.1002,,,,,,
0.00018508,0.099,,,,,,
0.00115498,0.1002,,,,,,
0.00012732,0.0985,,,,,,
0.00000197,0.0993,,,,,,
0.00007887,0.0971,,,,,,
0.00009725,0.0953,,,,,,
0.0000364,0.1048,,,,,,
0.00007863,0.0955,,,,,,
0.0000977,0.0955,,,,,,
0.00002816,0.1023,,,,,,
0.00004891,0.1023,,,,,,
0.00000888,0.0925,,,,,,
0.00005476,0.1002,,,,,,
0.000018,0.1002,,,,,,
0.00046357,0.1029,,,,,,
0.00003523,0.1023,,,,,,
0.00490742,0.1005,,,,,,
0.00000195,0.1023,,,,,,
0.00001185,0.0971,,,,,,
0.00001217,0.0872,,,,,,
0.00001449,0.0993,,,,,,
0.00010611,0.1001,,,,,,
0.00003489,0.099,,,,,,
0.00001066,0.1023,,,,,,
