following,65 and over,,,,,
254,16,,,,,
222,11,,,,,
930,17,,,,,
1291,13,,,,,
1130,13,,,,,
226,13,,,,,
179,13,,,,,
356,15,,,,,
791,13,,,,,
185,11,,,,,
1462,13,,,,,
2679,14,,,,,
0,14,,,,,
134,12,,,,,
416,13,,,,,
624,16,,,,,
320,13,,,,,
952,17,,,,,
206,11,,,,,
387,11,,,,,
118,13,,,,,
1,14,,,,,
153,14,,,,,
2878,14,,,,,
937,12,,,,,
983,14,,,,,
3088,12,,,,,
4185,13,,,,,
181,13,,,,,
4322,17,,,,,
128,14,,,,,
477,14,,,,,
511,14,,,,,
1319,12,,,,,
1625,12,,,,,
849,14,,,,,
2999,13,,,,,
1409,17,,,,,
34,13,,,,,
91,17,,,,,
215,14,,,,,
293,15,,,,,
1,11,,,,,
306,14,,,,,
11999,11,,,,,
1114,15,,,,,
27825,14,,,,,
847,12,,,,,
165,14,,,,,
366,14,,,,,
591,10,,,,,
127,14,,,,,
14,11,,,,,
808,13,,,,,
154,14,,,,,
673,12,,,,,
3578,10,,,,,
2340,14,,,,,
96,14,,,,,
393,13,,,,,
34,12,,,,,
765,11,,,,,
704,15,,,,,
758,11,,,,,
217,11,,,,,
156,13,,,,,
418,14,,,,,
139,14,,,,,
750,11,,,,,
681,13,,,,,
591,14,,,,,
5697,14,,,,,
1363,14,,,,,
446,14,,,,,
317,14,,,,,
508,17,,,,,
809,14,,,,,
212,13,,,,,
202,11,,,,,
209,13,,,,,
484,14,,,,,
245,9,,,,,
604,11,,,,,
125,13,,,,,
177,10,,,,,
266,14,,,,,
170,14,,,,,
458,14,,,,,
16494,15,,,,,
213,14,,,,,
548,14,,,,,
669,14,,,,,
276,15,,,,,
106,12,,,,,
1199,14,,,,,
1112,11,,,,,
772,11,,,,,
2388,14,,,,,
187,11,,,,,
5,13,,,,,
108,14,,,,,
798,13,,,,,
2179,12,,,,,
62,11,,,,,
345,10,,,,,
20,10,,,,,
859,11,,,,,
0,13,,,,,
129,11,,,,,
126,13,,,,,
276,13,,,,,
306,12,,,,,
250,14,,,,,
150,14,,,,,
245,14,,,,,
437,11,,,,,
320,14,,,,,
1261,14,,,,,
6222,12,,,,,
11163,12,,,,,
322,17,,,,,
991,17,,,,,
628,14,,,,,
541,14,,,,,
173,13,,,,,
75,10,,,,,
219,14,,,,,
83,10,,,,,
226,14,,,,,
321,8,,,,,
207,13,,,,,
556,13,,,,,
333,13,,,,,
7,17,,,,,
