tweets,65 and over,,,,
52,14,,,,
21.1042,14,,,,
3.3043,11,,,,
35,15,,,,
26.7407,16,,,,
26.3846,15,,,,
19.2963,14,,,,
33.8889,16,,,,
72.3333,14,,,,
23.75,13,,,,
79.6667,14,,,,
50.6667,13,,,,
48,14,,,,
47,17,,,,
8.4255,14,,,,
16.2667,14,,,,
7.8,17,,,,
36,13,,,,
12.4082,11,,,,
19.2424,11,,,,
0.1,11,,,,
54.375,10,,,,
39.8889,14,,,,
2.3704,17,,,,
27.963,13,,,,
36,11,,,,
43.46,10,,,,
57.8571,14,,,,
83.3333,13,,,,
8.907,13,,,,
23,11,,,,
15.0667,15,,,,
49.6863,14,,,,
25.2647,13,,,,
46.037,13,,,,
50.6875,14,,,,
45.338,11,,,,
38.2093,10,,,,
11.72,11,,,,
33.3396,13,,,,
36.7778,14,,,,
14.678,16,,,,
6.7333,11,,,,
20.6122,17,,,,
27.9565,13,,,,
37.2692,13,,,,
29.2759,13,,,,
51.5,13,,,,
4.8627,15,,,,
40,13,,,,
110,11,,,,
50.2667,13,,,,
42.54,14,,,,
61.4286,14,,,,
32.8333,12,,,,
12.3721,13,,,,
94.875,16,,,,
26.6667,13,,,,
124.2787,17,,,,
15.9286,11,,,,
27,11,,,,
17,13,,,,
23.4902,14,,,,
13.1765,14,,,,
26.4583,14,,,,
41.3636,12,,,,
17.5323,14,,,,
20.4821,12,,,,
50.32,13,,,,
18.8696,13,,,,
32.4694,17,,,,
14.9231,14,,,,
45.2593,14,,,,
15.2963,14,,,,
34.16,12,,,,
45.25,12,,,,
70.8571,14,,,,
40.5849,13,,,,
209,17,,,,
17.7273,13,,,,
35.6667,17,,,,
38,14,,,,
63.5,15,,,,
18.5,11,,,,
49.3333,14,,,,
33.8205,11,,,,
131.0208,15,,,,
35.3585,14,,,,
12.0303,12,,,,
17.5,14,,,,
21.0833,14,,,,
40.2041,10,,,,
2.08,14,,,,
7.3542,11,,,,
96.9298,13,,,,
14.9545,14,,,,
15.1111,12,,,,
11.8571,10,,,,
16.4186,14,,,,
29.3478,14,,,,
20.4082,13,,,,
2.8605,12,,,,
14.8125,11,,,,
34.74,15,,,,
34.1364,11,,,,
14.303,11,,,,
15.1765,13,,,,
2.5135,14,,,,
19.3478,14,,,,
19.9388,11,,,,
35.0612,13,,,,
15.12,14,,,,
50.2105,14,,,,
64.75,14,,,,
47.3103,14,,,,
31.5,14,,,,
15.8148,17,,,,
25.3103,14,,,,
25.6207,13,,,,
25.2963,11,,,,
48.6667,13,,,,
163,14,,,,
37.6667,9,,,,
80.4,11,,,,
2.2619,13,,,,
10.3889,10,,,,
30.6957,14,,,,
23,14,,,,
39.0577,14,,,,
48.7857,15,,,,
22.2,14,,,,
22.0652,14,,,,
50.5385,14,,,,
42.8824,15,,,,
6.6757,12,,,,
15.2619,14,,,,
16.6538,11,,,,
39.3333,11,,,,
26.9189,14,,,,
35.6522,11,,,,
24.7778,13,,,,
2.4242,14,,,,
28.6774,13,,,,
9.5385,12,,,,
26.5,11,,,,
48.6667,10,,,,
15.5,10,,,,
16.5833,11,,,,
1,13,,,,
36,11,,,,
3.2222,13,,,,
28.32,13,,,,
4.0741,12,,,,
22.4615,14,,,,
11.0625,14,,,,
9.0385,14,,,,
29.25,11,,,,
35.2222,14,,,,
34.1538,14,,,,
62.4737,12,,,,
32.9143,12,,,,
37.2917,17,,,,
35.1111,17,,,,
51.1481,14,,,,
59,14,,,,
67,13,,,,
57.3333,10,,,,
10.6923,14,,,,
15.3333,10,,,,
16.75,14,,,,
11.875,8,,,,
36.8333,13,,,,
86.0769,13,,,,
39,13,,,,
2.6667,17,,,,
