following,median age,,,,,
254,43,,,,,
222,36,,,,,
930,41,,,,,
1291,36,,,,,
1130,36,,,,,
226,38,,,,,
179,39,,,,,
356,40,,,,,
791,37,,,,,
185,35,,,,,
1462,37,,,,,
2679,38,,,,,
0,39,,,,,
134,36,,,,,
416,36,,,,,
624,41,,,,,
320,38,,,,,
952,41,,,,,
206,35,,,,,
387,35,,,,,
118,37,,,,,
1,39,,,,,
153,39,,,,,
2878,38,,,,,
937,38,,,,,
983,39,,,,,
3088,37,,,,,
4185,37,,,,,
181,38,,,,,
4322,41,,,,,
128,38,,,,,
477,39,,,,,
511,39,,,,,
1319,36,,,,,
1625,38,,,,,
849,38,,,,,
2999,37,,,,,
1409,41,,,,,
34,39,,,,,
91,41,,,,,
215,38,,,,,
293,40,,,,,
1,35,,,,,
306,36,,,,,
11999,35,,,,,
1114,42,,,,,
27825,38,,,,,
847,38,,,,,
165,39,,,,,
366,38,,,,,
591,34,,,,,
127,38,,,,,
14,35,,,,,
808,37,,,,,
154,38,,,,,
673,37,,,,,
3578,34,,,,,
2340,39,,,,,
96,38,,,,,
393,37,,,,,
34,35,,,,,
765,35,,,,,
704,40,,,,,
758,35,,,,,
217,35,,,,,
156,39,,,,,
418,41,,,,,
139,36,,,,,
750,35,,,,,
681,37,,,,,
591,38,,,,,
5697,41,,,,,
1363,36,,,,,
446,38,,,,,
317,38,,,,,
508,41,,,,,
809,39,,,,,
212,37,,,,,
202,35,,,,,
209,37,,,,,
484,36,,,,,
245,29,,,,,
604,35,,,,,
125,36,,,,,
177,34,,,,,
266,37,,,,,
170,39,,,,,
458,36,,,,,
16494,40,,,,,
213,39,,,,,
548,39,,,,,
669,39,,,,,
276,40,,,,,
106,36,,,,,
1199,38,,,,,
1112,36,,,,,
772,35,,,,,
2388,39,,,,,
187,36,,,,,
5,37,,,,,
108,38,,,,,
798,37,,,,,
2179,38,,,,,
62,35,,,,,
345,34,,,,,
20,34,,,,,
859,35,,,,,
0,37,,,,,
129,35,,,,,
126,38,,,,,
276,36,,,,,
306,38,,,,,
250,38,,,,,
150,38,,,,,
245,38,,,,,
437,35,,,,,
320,39,,,,,
1261,39,,,,,
6222,38,,,,,
11163,38,,,,,
322,41,,,,,
991,41,,,,,
628,37,,,,,
541,38,,,,,
173,37,,,,,
75,34,,,,,
219,39,,,,,
83,34,,,,,
226,39,,,,,
321,34,,,,,
207,38,,,,,
556,36,,,,,
333,37,,,,,
7,41,,,,,
