followers,65 and over,,,,,
7097,10,,,,,
10298,14,,,,,
2255,17,,,,,
3822,13,,,,,
484,11,,,,,
3267,10,,,,,
2644,14,,,,,
8721,13,,,,,
2274,13,,,,,
320304,11,,,,,
2697,15,,,,,
28009,14,,,,,
4276,13,,,,,
3561,13,,,,,
4604,14,,,,,
18765,11,,,,,
7724,10,,,,,
6651,11,,,,,
9022,13,,,,,
3449,14,,,,,
8243,16,,,,,
726,11,,,,,
5724,17,,,,,
3180,13,,,,,
3566,13,,,,,
177324,13,,,,,
322,13,,,,,
1593,15,,,,,
634,13,,,,,
333,11,,,,,
7188,13,,,,,
13199,14,,,,,
4328,14,,,,,
98852,12,,,,,
6653,13,,,,,
8905,16,,,,,
1351,13,,,,,
16022,17,,,,,
1081,11,,,,,
3211,11,,,,,
2239,13,,,,,
343185,14,,,,,
3468,14,,,,,
7337,14,,,,,
2495,12,,,,,
14189,14,,,,,
7337,12,,,,,
10503,13,,,,,
5645,13,,,,,
10014,17,,,,,
2772,14,,,,,
4094,14,,,,,
3863,14,,,,,
4066,12,,,,,
4631,12,,,,,
6132,14,,,,,
6504,13,,,,,
5718,17,,,,,
2952,13,,,,,
11845,17,,,,,
800,14,,,,,
340,15,,,,,
511,11,,,,,
833,14,,,,,
11780,11,,,,,
149654,15,,,,,
52147,14,,,,,
4410,12,,,,,
384,14,,,,,
7001,14,,,,,
9741,10,,,,,
8469,14,,,,,
3918,11,,,,,
9283,13,,,,,
6089,14,,,,,
5448,12,,,,,
9884,10,,,,,
10590,14,,,,,
17196,14,,,,,
10339,13,,,,,
1795,12,,,,,
4834,11,,,,,
7287,15,,,,,
3009,11,,,,,
3418,11,,,,,
4955,13,,,,,
640,14,,,,,
1494,14,,,,,
8337,11,,,,,
15441,13,,,,,
5965,14,,,,,
9854,14,,,,,
6919,14,,,,,
23738,14,,,,,
3593,14,,,,,
4495,17,,,,,
4468,14,,,,,
2592,13,,,,,
3958,11,,,,,
521,13,,,,,
1919,14,,,,,
523,9,,,,,
1260,11,,,,,
2127,13,,,,,
1086,10,,,,,
14098,14,,,,,
2764,14,,,,,
5761,14,,,,,
19941,15,,,,,
327,14,,,,,
3258,14,,,,,
4288,14,,,,,
6271,15,,,,,
2467,12,,,,,
4947,14,,,,,
3436,11,,,,,
964,11,,,,,
7047,14,,,,,
20257,11,,,,,
8888,13,,,,,
2482,14,,,,,
2476,13,,,,,
11979,12,,,,,
343,11,,,,,
518,10,,,,,
276,10,,,,,
16922,11,,,,,
1629,13,,,,,
1470,11,,,,,
1787,13,,,,,
5674,13,,,,,
2883,12,,,,,
15364,14,,,,,
7447,14,,,,,
1958,14,,,,,
3903,11,,,,,
5037,14,,,,,
9581,14,,,,,
10510,12,,,,,
38491,12,,,,,
2725,17,,,,,
3978,17,,,,,
4693,14,,,,,
1405,14,,,,,
625,13,,,,,
377,10,,,,,
337,14,,,,,
162,10,,,,,
15942,14,,,,,
5469,8,,,,,
4410,13,,,,,
4419,13,,,,,
4085,13,,,,,
519,17,,,,,
