followers,18 to 24,,,,,
2672,0.1053,,,,,
4637,0.1024,,,,,
7399,0.1048,,,,,
9008,0.1053,,,,,
3172,0.0872,,,,,
5735,0.0915,,,,,
6093,0.114,,,,,
1735,0.0967,,,,,
1754,0.1035,,,,,
1048,0.097,,,,,
688,0.1005,,,,,
11536,0.0953,,,,,
5463,0.0991,,,,,
7024,0.0993,,,,,
4868,0.0982,,,,,
6985,0.1016,,,,,
25131,0.1151,,,,,
367,0.1053,,,,,
777,0.1053,,,,,
621,0.0991,,,,,
4806,0.1024,,,,,
14193,0.1035,,,,,
1798403,0.099,,,,,
4349,0.1024,,,,,
7177,0.1035,,,,,
13891,0.0952,,,,,
6984,0.0967,,,,,
3310,0.0985,,,,,
10106,0.1053,,,,,
24688,0.0872,,,,,
17446,0.0965,,,,,
8821,0.1053,,,,,
7807,0.1002,,,,,
9765,0.1009,,,,,
12497,0.0967,,,,,
5260,0.1024,,,,,
2372,0.1053,,,,,
6449,0.1151,,,,,
2646,0.0948,,,,,
6122,0.0873,,,,,
6641,0.0985,,,,,
3863,0.0993,,,,,
15964,0.1056,,,,,
10336,0.0985,,,,,
4333,0.1023,,,,,
8996,0.1023,,,,,
14279,0.0967,,,,,
7883,0.0965,,,,,
4421,0.1053,,,,,
34831,0.1053,,,,,
1618,0.1053,,,,,
3972,0.0983,,,,,
562,0.1024,,,,,
18173,0.0937,,,,,
5829,0.1053,,,,,
3443,0.0993,,,,,
3315,0.0912,,,,,
3294,0.0993,,,,,
4842,0.1029,,,,,
10873,0.0912,,,,,
695,0.1024,,,,,
1177,0.0985,,,,,
1082,0.1024,,,,,
806,0.1002,,,,,
1151,0.1016,,,,,
481,0.0925,,,,,
4474,0.1024,,,,,
1504,0.1035,,,,,
29000,0.0925,,,,,
779,0.0948,,,,,
9051,0.1445,,,,,
3670,0.1053,,,,,
103,0.1053,,,,,
7097,0.1023,,,,,
10298,0.1007,,,,,
2255,0.0925,,,,,
3822,0.1028,,,,,
484,0.1053,,,,,
3267,0.1023,,,,,
2644,0.1024,,,,,
8721,0.0872,,,,,
2274,0.0872,,,,,
320304,0.1053,,,,,
2697,0.0993,,,,,
28009,0.0953,,,,,
4276,0.0985,,,,,
3561,0.0991,,,,,
4604,0.0974,,,,,
18765,0.1001,,,,,
7724,0.1023,,,,,
6651,0.097,,,,,
9022,0.0948,,,,,
3449,0.0985,,,,,
8243,0.0873,,,,,
726,0.097,,,,,
5724,0.0925,,,,,
3180,0.1028,,,,,
3566,0.1009,,,,,
177324,0.0952,,,,,
322,0.0872,,,,,
1593,0.0993,,,,,
634,0.0985,,,,,
333,0.1053,,,,,
7188,0.0971,,,,,
13199,0.1024,,,,,
4328,0.114,,,,,
98852,0.0922,,,,,
6653,0.1009,,,,,
8905,0.0912,,,,,
1351,0.0952,,,,,
16022,0.0925,,,,,
1081,0.1053,,,,,
3211,0.1053,,,,,
2239,0.0971,,,,,
343185,0.0965,,,,,
3468,0.0985,,,,,
7337,0.1002,,,,,
2495,0.0965,,,,,
14189,0.0953,,,,,
7337,0.0967,,,,,
10503,0.0971,,,,,
5645,0.0955,,,,,
10014,0.0925,,,,,
2772,0.1024,,,,,
4094,0.0953,,,,,
3863,0.0965,,,,,
4066,0.1048,,,,,
4631,0.1002,,,,,
6132,0.1002,,,,,
6504,0.1002,,,,,
5718,0.0925,,,,,
2952,0.0872,,,,,
11845,0.0925,,,,,
800,0.1029,,,,,
340,0.0993,,,,,
511,0.1053,,,,,
833,0.099,,,,,
11780,0.1053,,,,,
149654,0.1038,,,,,
52147,0.1024,,,,,
4410,0.1002,,,,,
384,0.0965,,,,,
7001,0.1024,,,,,
9741,0.1023,,,,,
8469,0.1002,,,,,
3918,0.1053,,,,,
9283,0.0971,,,,,
6089,0.1024,,,,,
5448,0.0967,,,,,
9884,0.1023,,,,,
10590,0.0985,,,,,
17196,0.1002,,,,,
10339,0.0971,,,,,
1795,0.0982,,,,,
4834,0.1053,,,,,
7287,0.0993,,,,,
3009,0.1053,,,,,
3418,0.1001,,,,,
4955,0.0872,,,,,
640,0.0935,,,,,
1494,0.1002,,,,,
8337,0.1053,,,,,
15441,0.0971,,,,,
5965,0.0937,,,,,
9854,0.0935,,,,,
6919,0.099,,,,,
23738,0.1029,,,,,
3593,0.1002,,,,,
4495,0.0925,,,,,
4468,0.0953,,,,,
2592,0.1002,,,,,
3958,0.1001,,,,,
521,0.0971,,,,,
1919,0.099,,,,,
523,0.1151,,,,,
1260,0.1053,,,,,
2127,0.1028,,,,,
1086,0.1023,,,,,
14098,0.1007,,,,,
2764,0.1035,,,,,
5761,0.1002,,,,,
19941,0.0993,,,,,
327,0.0953,,,,,
3258,0.0953,,,,,
4288,0.1035,,,,,
6271,0.0993,,,,,
2467,0.0922,,,,,
4947,0.1024,,,,,
3436,0.097,,,,,
964,0.1053,,,,,
7047,0.0985,,,,,
20257,0.097,,,,,
8888,0.0991,,,,,
2482,0.1024,,,,,
2476,0.1002,,,,,
11979,0.0965,,,,,
343,0.1053,,,,,
518,0.1023,,,,,
276,0.1023,,,,,
16922,0.1053,,,,,
1629,0.0985,,,,,
1470,0.1053,,,,,
1787,0.0952,,,,,
5674,0.1028,,,,,
2883,0.1002,,,,,
15364,0.0937,,,,,
7447,0.0937,,,,,
1958,0.1029,,,,,
3903,0.1001,,,,,
5037,0.0985,,,,,
9581,0.114,,,,,
10510,0.1002,,,,,
38491,0.1002,,,,,
2725,0.0925,,,,,
3978,0.0925,,,,,
4693,0.0974,,,,,
1405,0.0983,,,,,
625,0.1002,,,,,
377,0.1023,,,,,
337,0.0953,,,,,
162,0.1023,,,,,
15942,0.1035,,,,,
5469,0.1056,,,,,
4410,0.0952,,,,,
4419,0.1009,,,,,
4085,0.1002,,,,,
519,0.0925,,,,,
