following,18 to 24,,,,,
133,0.0991,,,,,
6214,0.0993,,,,,
496,0.0982,,,,,
404,0.1016,,,,,
1998,0.1151,,,,,
675,0.1053,,,,,
1212,0.1053,,,,,
227,0.0991,,,,,
3308,0.1024,,,,,
67,0.1035,,,,,
284,0.099,,,,,
57,0.1024,,,,,
487,0.1035,,,,,
160,0.0952,,,,,
613,0.0967,,,,,
129,0.0985,,,,,
5234,0.1053,,,,,
459,0.0872,,,,,
6,0.0965,,,,,
211,0.1053,,,,,
176,0.1002,,,,,
1082,0.1009,,,,,
1442,0.0967,,,,,
138,0.1024,,,,,
48,0.1053,,,,,
93,0.1151,,,,,
651,0.0948,,,,,
7,0.0873,,,,,
405,0.0985,,,,,
448,0.0993,,,,,
320,0.1056,,,,,
3513,0.0985,,,,,
81,0.1023,,,,,
2239,0.1023,,,,,
5131,0.0967,,,,,
339,0.0965,,,,,
1387,0.1053,,,,,
11028,0.1053,,,,,
174,0.1053,,,,,
1410,0.0983,,,,,
6,0.1024,,,,,
82,0.0937,,,,,
0,0.1053,,,,,
371,0.0993,,,,,
185,0.0912,,,,,
505,0.0993,,,,,
4113,0.1029,,,,,
742,0.0912,,,,,
272,0.1024,,,,,
1495,0.0985,,,,,
315,0.1024,,,,,
129,0.1002,,,,,
1042,0.1016,,,,,
45,0.0925,,,,,
775,0.1024,,,,,
12,0.1035,,,,,
73,0.0925,,,,,
5,0.0948,,,,,
41,0.1445,,,,,
178,0.1053,,,,,
0,0.1053,,,,,
2439,0.1023,,,,,
214,0.1007,,,,,
172,0.0925,,,,,
378,0.1028,,,,,
149,0.1053,,,,,
1304,0.1023,,,,,
666,0.1024,,,,,
493,0.0872,,,,,
0,0.0872,,,,,
253,0.1053,,,,,
48,0.0993,,,,,
1648,0.0953,,,,,
2323,0.0985,,,,,
506,0.0991,,,,,
165,0.0974,,,,,
3126,0.1001,,,,,
473,0.1023,,,,,
68,0.097,,,,,
2200,0.0948,,,,,
313,0.0985,,,,,
254,0.0873,,,,,
222,0.097,,,,,
930,0.0925,,,,,
1291,0.1028,,,,,
1130,0.1009,,,,,
226,0.0952,,,,,
179,0.0872,,,,,
356,0.0993,,,,,
791,0.0985,,,,,
185,0.1053,,,,,
1462,0.0971,,,,,
2679,0.1024,,,,,
0,0.114,,,,,
134,0.0922,,,,,
416,0.1009,,,,,
624,0.0912,,,,,
320,0.0952,,,,,
952,0.0925,,,,,
206,0.1053,,,,,
387,0.1053,,,,,
118,0.0971,,,,,
1,0.0965,,,,,
153,0.0985,,,,,
2878,0.1002,,,,,
937,0.0965,,,,,
983,0.0953,,,,,
3088,0.0967,,,,,
4185,0.0971,,,,,
181,0.0955,,,,,
4322,0.0925,,,,,
128,0.1024,,,,,
477,0.0953,,,,,
511,0.0965,,,,,
1319,0.1048,,,,,
1625,0.1002,,,,,
849,0.1002,,,,,
2999,0.1002,,,,,
1409,0.0925,,,,,
34,0.0872,,,,,
91,0.0925,,,,,
215,0.1029,,,,,
293,0.0993,,,,,
1,0.1053,,,,,
306,0.099,,,,,
11999,0.1053,,,,,
1114,0.1038,,,,,
27825,0.1024,,,,,
847,0.1002,,,,,
165,0.0965,,,,,
366,0.1024,,,,,
591,0.1023,,,,,
127,0.1002,,,,,
14,0.1053,,,,,
808,0.0971,,,,,
154,0.1024,,,,,
673,0.0967,,,,,
3578,0.1023,,,,,
2340,0.0985,,,,,
96,0.1002,,,,,
393,0.0971,,,,,
34,0.0982,,,,,
765,0.1053,,,,,
704,0.0993,,,,,
758,0.1053,,,,,
217,0.1001,,,,,
156,0.0872,,,,,
418,0.0935,,,,,
139,0.1002,,,,,
750,0.1053,,,,,
681,0.0971,,,,,
591,0.0937,,,,,
5697,0.0935,,,,,
1363,0.099,,,,,
446,0.1029,,,,,
317,0.1002,,,,,
508,0.0925,,,,,
809,0.0953,,,,,
212,0.1002,,,,,
202,0.1001,,,,,
209,0.0971,,,,,
484,0.099,,,,,
245,0.1151,,,,,
604,0.1053,,,,,
125,0.1028,,,,,
177,0.1023,,,,,
266,0.1007,,,,,
170,0.1035,,,,,
458,0.1002,,,,,
16494,0.0993,,,,,
213,0.0953,,,,,
548,0.0953,,,,,
669,0.1035,,,,,
276,0.0993,,,,,
106,0.0922,,,,,
1199,0.1024,,,,,
1112,0.097,,,,,
772,0.1053,,,,,
2388,0.0985,,,,,
187,0.097,,,,,
5,0.0991,,,,,
108,0.1024,,,,,
798,0.1002,,,,,
2179,0.0965,,,,,
62,0.1053,,,,,
345,0.1023,,,,,
20,0.1023,,,,,
859,0.1053,,,,,
0,0.0985,,,,,
129,0.1053,,,,,
126,0.0952,,,,,
276,0.1028,,,,,
306,0.1002,,,,,
250,0.0937,,,,,
150,0.0937,,,,,
245,0.1029,,,,,
437,0.1001,,,,,
320,0.0985,,,,,
1261,0.114,,,,,
6222,0.1002,,,,,
11163,0.1002,,,,,
322,0.0925,,,,,
991,0.0925,,,,,
628,0.0974,,,,,
541,0.0983,,,,,
173,0.1002,,,,,
75,0.1023,,,,,
219,0.0953,,,,,
83,0.1023,,,,,
226,0.1035,,,,,
321,0.1056,,,,,
207,0.0952,,,,,
556,0.1009,,,,,
333,0.1002,,,,,
7,0.0925,,,,,
