following per capita,median age,,,,
0.00003253,35,,,,
0.00011025,37,,,,
0.00017071,38,,,,
0.00001023,39,,,,
0.00004443,36,,,,
0.00000294,38,,,,
0.00007437,39,,,,
0.00003687,38,,,,
0.00009115,37,,,,
0.00001353,37,,,,
0.00014049,35,,,,
0.00005221,39,,,,
0.00000104,38,,,,
0.00000566,35,,,,
0.000022,38,,,,
0.00037925,36,,,,
0.00021442,37,,,,
0.00000712,38,,,,
0.00000129,35,,,,
0.00003365,29,,,,
0.00012274,37,,,,
0.00000527,43,,,,
0.00004098,39,,,,
0.00003527,40,,,,
0.0004507,34,,,,
0.00036843,37,,,,
0.00000322,34,,,,
0.00008904,34,,,,
0.00076297,37,,,,
0.00005961,39,,,,
0.00003723,35,,,,
0.00029602,35,,,,
0.00000467,35,,,,
0.00023543,38,,,,
0.00000031,38,,,,
0.0000214,38,,,,
0,35,,,,
0.00002921,40,,,,
0.00009984,41,,,,
0.00003976,40,,,,
0.0008893,38,,,,
0.00040043,41,,,,
0.00001404,38,,,,
0.00015679,37,,,,
0.00001626,38,,,,
0.0000199,37,,,,
0.00027779,36,,,,
0.00000239,41,,,,
0.00003999,38,,,,
0.00000183,39,,,,
0.00000388,41,,,,
0.00000094,37,,,,
0.00006811,34,,,,
0.00000478,35,,,,
0,35,,,,
0.00009699,34,,,,
0.0002629,37,,,,
0.00000915,41,,,,
0.0001274,36,,,,
0.000004,35,,,,
0.00005186,34,,,,
0.00003437,38,,,,
0.00005607,39,,,,
0,39,,,,
0.00000679,35,,,,
0.00000378,40,,,,
0.00014284,39,,,,
0.00024363,37,,,,
0.00024575,37,,,,
0.00005658,37,,,,
0.00032267,35,,,,
0.00001881,34,,,,
0.00001352,36,,,,
0.00041478,37,,,,
0.00003167,39,,,,
0.00019127,43,,,,
0.00004414,36,,,,
0.00004947,41,,,,
0.00043512,36,,,,
0.00039607,36,,,,
0.00005209,38,,,,
0.00002036,39,,,,
0.00002803,40,,,,
0.00008296,37,,,,
0.00000497,35,,,,
0.00011394,37,,,,
0.00013825,38,,,,
0,39,,,,
0.00004961,36,,,,
0.00014581,36,,,,
