following per capita,65 and over,,,,,
0.00041026,14,,,,,
0.00001672,11,,,,,
0.00000099,11,,,,,
0.00001791,14,,,,,
0.00002912,12,,,,,
0.0000142,11,,,,,
0.00001444,13,,,,,
0.0000859,14,,,,,
0.00144065,14,,,,,
0.0001539,12,,,,,
0.00001863,14,,,,,
0.00002287,11,,,,,
0.00015791,15,,,,,
0.00039317,14,,,,,
0.00006459,13,,,,,
0.01101773,12,,,,,
0.00031633,12,,,,,
0.0001077,14,,,,,
0.00072287,9,,,,,
0.00001812,11,,,,,
0.00003253,11,,,,,
0.00011025,13,,,,,
0.00017071,14,,,,,
0.00001023,14,,,,,
0.00004443,14,,,,,
0.00000294,14,,,,,
0.00007437,14,,,,,
0.00003687,13,,,,,
0.00009115,12,,,,,
0.00001353,13,,,,,
0.00014049,11,,,,,
0.00005221,13,,,,,
0.00000104,12,,,,,
0.00000566,11,,,,,
0.000022,12,,,,,
0.00037925,13,,,,,
0.00021442,12,,,,,
0.00000712,14,,,,,
0.00000129,11,,,,,
0.00003365,9,,,,,
0.00012274,13,,,,,
0.00000527,16,,,,,
0.00004098,14,,,,,
0.00003527,15,,,,,
0.0004507,8,,,,,
0.00036843,13,,,,,
0.00000322,10,,,,,
0.00008904,10,,,,,
0.00076297,12,,,,,
0.00005961,14,,,,,
0.00003723,11,,,,,
0.00029602,11,,,,,
0.00000467,11,,,,,
0.00023543,14,,,,,
0.00000031,14,,,,,
0.0000214,14,,,,,
0,11,,,,,
0.00002921,15,,,,,
0.00009984,16,,,,,
0.00003976,15,,,,,
0.0008893,14,,,,,
0.00040043,16,,,,,
0.00001404,14,,,,,
0.00015679,13,,,,,
0.00001626,14,,,,,
0.0000199,13,,,,,
0.00027779,14,,,,,
0.00000239,17,,,,,
0.00003999,14,,,,,
0.00000183,14,,,,,
0.00000388,17,,,,,
0.00000094,13,,,,,
0.00006811,11,,,,,
0.00000478,11,,,,,
0,11,,,,,
0.00009699,10,,,,,
0.0002629,14,,,,,
0.00000915,17,,,,,
0.0001274,13,,,,,
0.000004,11,,,,,
0.00005186,10,,,,,
0.00003437,14,,,,,
0.00005607,13,,,,,
0,13,,,,,
0.00000679,11,,,,,
0.00000378,15,,,,,
0.00014284,14,,,,,
0.00024363,13,,,,,
0.00024575,13,,,,,
0.00005658,14,,,,,
0.00032267,11,,,,,
0.00001881,10,,,,,
0.00001352,11,,,,,
0.00041478,13,,,,,
0.00003167,14,,,,,
0.00019127,16,,,,,
0.00004414,11,,,,,
0.00004947,17,,,,,
0.00043512,13,,,,,
0.00039607,13,,,,,
0.00005209,13,,,,,
0.00002036,13,,,,,
0.00002803,15,,,,,
0.00008296,13,,,,,
0.00000497,11,,,,,
0.00011394,13,,,,,
0.00013825,14,,,,,
0,14,,,,,
0.00004961,12,,,,,
0.00014581,13,,,,,
0.00033675,16,,,,,
0.00007375,13,,,,,
0.00005064,17,,,,,
0.00000553,11,,,,,
0.00001039,11,,,,,
0.0000092,13,,,,,
0.00000018,14,,,,,
0.00001548,14,,,,,
0.00060209,14,,,,,
0.00016228,12,,,,,
0.0000852,14,,,,,
0.00045918,12,,,,,
0.00032616,13,,,,,
0.00002852,13,,,,,
0.00022988,17,,,,,
0.00000661,14,,,,,
0.00004135,14,,,,,
0.00008985,14,,,,,
0.00029098,12,,,,,
0.0002031,12,,,,,
0.00017762,14,,,,,
0.00046252,13,,,,,
0.00007494,17,,,,,
0.00000387,13,,,,,
0.00000484,17,,,,,
0.00004649,14,,,,,
0.00002307,15,,,,,
0.00000003,11,,,,,
0.00004787,14,,,,,
0.00032209,11,,,,,
0.00177955,15,,,,,
0.00143591,14,,,,,
0.00010586,12,,,,,
0.00002901,14,,,,,
0.00001889,14,,,,,
0.0000235,10,,,,,
0.00002657,14,,,,,
0.00000038,11,,,,,
0.00006297,13,,,,,
0.00000795,14,,,,,
0.00010007,12,,,,,
0.00014229,10,,,,,
0.00023675,14,,,,,
0.00002008,14,,,,,
0.00003063,13,,,,,
0.00002168,12,,,,,
0.00002053,11,,,,,
0.00005542,15,,,,,
0.00002035,11,,,,,
0.0000224,11,,,,,
0.00001774,13,,,,,
0.00031763,14,,,,,
0.00007612,14,,,,,
0.00002013,11,,,,,
0.00005307,13,,,,,
0.00015427,14,,,,,
0.00432903,14,,,,,
0.00021324,14,,,,,
0.00009643,14,,,,,
0.00006632,14,,,,,
0.00002702,17,,,,,
0.00007012,14,,,,,
0.0000327,13,,,,,
0.00002085,11,,,,,
0.00001629,13,,,,,
0.00007572,14,,,,,
0.00008864,9,,,,,
0.00001621,11,,,,,
0.00004213,13,,,,,
0.00000704,10,,,,,
0.00032678,14,,,,,
0.00002596,14,,,,,
0.00025082,14,,,,,
0.00129854,15,,,,,
0.00001846,14,,,,,
0.0000475,14,,,,,
0.00010217,14,,,,,
0.00002173,15,,,,,
0.00003924,12,,,,,
0.00006187,14,,,,,
0.00022112,11,,,,,
0.00002072,11,,,,,
0.0002416,14,,,,,
0.00003718,11,,,,,
0.00000243,13,,,,,
0.00000557,14,,,,,
0.00012307,13,,,,,
0.00037738,12,,,,,
0.00000166,11,,,,,
0.00001372,10,,,,,
0.0000008,10,,,,,
0.00002306,11,,,,,
0,13,,,,,
0.00000346,11,,,,,
0.00002904,13,,,,,
0.00009302,13,,,,,
0.00003825,12,,,,,
0.00006526,14,,,,,
0.00003915,14,,,,,
0.00005297,14,,,,,
0.00004511,11,,,,,
0.00003238,14,,,,,
0.00119753,14,,,,,
0.00077765,12,,,,,
0.0013952,12,,,,,
0.00001713,17,,,,,
0.00005271,17,,,,,
0.00021536,14,,,,,
0.00009033,14,,,,,
0.00002668,13,,,,,
0.00000298,10,,,,,
0.00001898,14,,,,,
0.0000033,10,,,,,
0.00003451,14,,,,,
0.00045211,8,,,,,
0.00004771,13,,,,,
0.00019488,13,,,,,
0.00005136,13,,,,,
0.00000037,17,,,,,
