AL,4822023
AK,731449
AZ,6553255
AR,2949131
CA,38041430
CO,5187582
CT,3590347
DE,917092
DC,632323
FL,19317568
GA,9919945
HI,1392313
ID,1595728
IL,12875255
IN,6537334
IA,3074186
KS,2885905
KY,4380415
LA,4601893
ME,1329192
MD,5884563
MA,6646144
MI,9883360
MN,5379139
MS,2984926
MO,6021988
MT,1005141
NE,1855525
NV,2758931
NH,1320718
NJ,8864590
NM,2085538
NY,19570261
NC,9752073
ND,699628
OH,11544225
OK,3814820
OR,3899353
PA,12763536
RI,1050292
SC,4723723
SD,833354
TN,6456243
TX,26059203
UT,2855287
VT,626011
VA,8185867
WA,6897012
WV,1855413
WI,5726398
WY,576412
