State and Age,Total Population,Total Citizen Population,Registered,,,,,Total Voted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Registered,Percent registered (Total 18+),Margin of error1,Percent registered (Citizen 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Percent voted (Citizen 18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.45 to 64,"4,913","4,430","3,230",65.8,2.0,72.9,1.9,"2,993",60.9,2.1,70.6,2.0,,,
.65 to 74,"1,563","1,485","1,162",74.4,3.3,78.2,3.1,"1,076",68.9,3.5,70.4,3.3,,,
.75+,"1,369","1,338","1,029",75.1,3.5,76.9,3.4,943,68.9,3.7,69.8,3.7,,,
GEORGIA,,,,,,,,,,,,,,,
.Total,"7,018","6,515","4,624",65.9,1.7,71.0,1.6,"4,183",59.6,1.7,51.8,1.7,,,
.18 to 24,907,831,491,54.1,4.9,59.1,4.9,401,44.2,4.9,25.5,4.9,,,
.25 to 44,"2,759","2,443","1,658",60.1,2.8,67.9,2.6,"1,498",54.3,2.8,41.5,2.8,,,
.45 to 64,"2,433","2,341","1,787",73.4,2.7,76.3,2.6,"1,652",67.9,2.8,62,2.8,,,
.65 to 74,578,568,431,74.6,5.4,75.9,5.3,400,69.2,5.7,64.5,5.7,,,
.75+,341,333,257,75.3,7.0,77.2,6.8,232,68.1,7.5,67.3,7.4,,,
HAWAII,,,,,,,,,,,,,,,
.Total,977,883,522,53.5,2.5,59.1,2.5,457,46.8,2.5,61.4,2.5,,,
.18 to 24,122,107,37,30.7,6.5,35.0,6.8,27,22.4,5.9,47.8,6.2,,,
.25 to 44,329,284,148,44.9,4.3,52.1,4.3,118,35.7,4.1,50.9,4.2,,,
.45 to 64,343,319,213,62.2,4.1,66.9,4.0,198,57.6,4.2,72.7,4.1,,,
.65 to 74,90,85,58,64.6,7.9,68.2,7.7,55,61.1,8.0,72,7.9,,,
.75+,93,89,66,70.8,7.4,73.7,7.1,60,64.7,7.7,(B),7.6,,,
IDAHO 2,,,,,,,,,,,,,,,
.Total,"1,095","1,049",723,66.0,2.4,68.9,2.3,644,58.8,2.5,61.4,2.5,,,
.18 to 44,538,508,301,55.9,3.6,59.3,3.5,255,47.3,3.6,50.1,3.6,,,
.45 to 64,365,351,274,75.1,3.8,78.2,3.6,255,69.8,4.0,72.7,3.9,,,
.65+,191,190,147,76.9,5.1,77.2,5.1,134,70.2,5.5,70.5,5.5,,,
