R,62
R,352
R,201
R,1389
R,1177
R,2
R,58
D,1792
D,426
D,247
R,7716
R,13700
D,76
R,223
D,143
D,39
R,3852
D,546
R,272
D,1969
R,1781
R,443
D,405
R,698
R,95
D,125
D,154
R,116
R,3955
R,1180
D,11417
R,10741
R,352
R,2176
D,484
D,49
R,1666
D,14975
R,7752
R,1119
R,1984
R,681
D,327
D,803
D,5
R,313
R,263
R,551
R,73
D,1762
D,37
R,68
R,6961
D,0
D,140
D,420
R,887
R,183
D,144
D,860
R,436
R,456
R,139
R,296
D,468
D,257
R,329
R,518
D,693
D,196
R,113
R,8872
R,805
R,604
R,2863
R,33
R,8364
D,263
D,348
R,1422
D,1390
R,275
D,2282
D,296
D,1735
D,169
R,363
D,522
R,22141
R,1467
D,153
D,816
D,728
D,66
R,298
D,103
D,408
D,396
R,30
R,291
R,69
R,209
R,210
R,1875
D,542
D,7052
D,602
D,954
D,265
D,29
D,684
R,134
D,249
D,834
R,1058
R,2560
R,1118
R,398
D,193
R,37
R,311
D,71
R,947
D,1278
D,229
D,225
R,234
D,1549
D,187
R,4373
D,11
D,396
D,405
D,875
D,122
R,199
R,5062
R,1183
R,2109
R,1214
R,25
D,1012
D,1122
R,165
R,499
R,620
R,708
R,1230
D,167
R,100
R,144
R,2144
R,886
R,14948
D,49
D,152
R,107
R,184
R,1028
D,223
R,268
D,21
D,6006
R,3007
R,402
R,3237
R,161
R,2416
R,349
R,3531
R,370
R,68
D,35
D,226
D,61
R,378
R,37
D,367
D,1568
D,190
R,216
D,1147
R,540
D,1095
R,371
D,11
D,615
D,443
D,588
R,332
R,188
R,390
R,73
R,925
R,1384
R,2660
R,1682
R,456
R,44
D,699
D,0
R,118
D,443
R,670
D,14
D,76
R,641
R,24086
D,241
D,282
D,799
R,118
D,49
R,114
D,312
R,5254
R,4457
R,138
R,540
R,79
R,1291
D,159
D,508
R,75
R,337
R,1720
R,48
R,186
D,541
D,590
R,105
R,816
D,69
D,2330
D,23
D,802
I,220
R,1073
D,88
D,55
D,0
D,4055
D,162
D,37
D,347
D,132
D,529
R,127
D,307
D,1517
D,1035
D,122
R,115
D,481
R,4536
D,133
R,6214
R,496
R,404
R,1998
R,675
D,1212
D,227
D,3308
D,67
R,284
D,57
D,487
R,160
D,613
D,129
R,5234
D,459
D,6
D,211
D,176
R,1082
D,1442
D,138
R,48
D,93
D,651
D,7
R,405
R,448
R,320
R,3513
R,81
R,2239
R,5131
D,339
D,1387
R,11028
D,174
D,1410
D,6
D,82
R,0
R,371
R,185
R,505
R,4113
D,742
D,272
R,1495
D,315
R,129
R,1042
D,45
D,775
D,12
D,73
D,5
D,41
D,178
R,0
R,2439
R,214
R,172
R,378
D,149
R,1304
D,666
D,493
D,0
D,253
R,48
R,1648
D,2323
R,506
D,165
R,3126
R,473
D,68
R,2200
D,313
D,5050
D,254
D,222
R,930
R,1291
R,1130
R,226
D,179
R,356
R,791
D,185
D,1462
D,2679
D,0
D,134
R,416
D,624
R,320
R,952
D,206
R,387
D,118
R,1
R,153
R,2878
D,937
D,983
R,3088
R,4185
R,181
R,4322
R,128
R,477
R,511
D,1319
R,1625
R,849
R,2999
R,1409
R,34
R,91
R,215
R,293
D,1
R,306
D,11999
I,1114
D,27825
D,847
R,165
D,366
R,591
R,127
D,14
R,808
D,154
D,673
R,3578
D,2340
R,96
D,393
R,34
D,765
R,704
D,758
D,217
D,156
D,418
R,139
D,750
R,681
D,591
D,5697
R,1363
R,446
D,317
R,508
R,809
R,212
R,202
D,209
D,484
R,245
D,604
D,125
R,177
R,266
D,170
R,458
R,16494
R,213
R,548
D,669
R,276
D,106
D,1199
R,1112
D,772
R,2388
D,187
D,5
D,108
D,798
D,2179
R,62
D,345
D,20
D,859
D,0
D,129
R,126
R,276
R,306
D,250
R,150
R,245
R,437
R,320
D,1261
R,6222
D,11163
R,322
D,991
R,628
R,541
R,173
R,75
R,219
R,83
D,226
R,321
D,207
R,556
R,333
R,7
