47,R,M,Rep,14.0233
72,R,M,Sen,12.3721
66,R,M,Rep,7.0000
32,R,M,Rep,144.2593
54,R,M,Rep,24.4706
65,R,M,Rep,8.8095
63,R,M,Rep,13.5200
55,D,M,Rep,25.4722
66,D,M,Rep,18.3846
64,D,M,Rep,7.7143
63,R,M,Sen,52.8200
63,R,M,Rep,151.1739
72,D,F,Sen,17.1754
57,R,M,Rep,40.3600
66,D,F,Rep,23.5652
60,D,M,Sen,17.1277
57,R,M,Sen,19.4200
68,D,M,Rep,11.0571
62,R,M,Sen,12.7917
62,D,M,Rep,13.7059
60,R,F,Rep,41.5000
53,R,M,Rep,16.6774
79,D,F,Rep,6.2414
62,R,M,Rep,44.8750
61,R,M,Rep,0.0000
65,D,M,Rep,15.6250
57,D,M,Rep,8.8980
57,R,M,Rep,5.1154
57,R,F,Rep,38.3846
50,R,M,Rep,42.7347
55,D,M,Rep,78.7917
61,R,M,Rep,27.6000
60,R,M,Sen,31.5333
66,R,M,Rep,16.2941
51,D,M,Sen,57.6429
48,D,M,Sen,22.7857
57,R,M,Rep,32.8889
59,D,F,Rep,39.0000
60,R,M,Rep,5.2308
62,R,F,Rep,33.3684
58,R,M,Rep,9.0741
50,R,M,Rep,63.3333
67,D,M,Sen,52.0833
58,D,F,Rep,19.9091
67,D,M,Rep,30.3333
61,R,M,Rep,15.2500
39,R,M,Rep,48.0000
37,R,M,Rep,96.5000
52,R,F,Rep,24.6667
51,D,F,Rep,66.0000
48,D,M,Rep,39.2500
59,R,M,Rep,23.3000
59,R,M,Rep,28.6327
54,D,F,Sen,6.3421
69,D,M,Sen,46.6316
66,D,M,Sen,68.1923
60,R,M,Rep,15.8148
69,R,M,Sen,38.2500
67,D,F,Rep,29.6000
72,D,M,Rep,15.6129
69,R,M,Sen,39.0000
82,R,M,Rep,22.9545
65,R,M,Sen,15.3654
75,R,M,Sen,20.8182
83,D,M,Rep,12.3714
58,D,M,Rep,8.1600
61,R,M,Sen,152.8000
60,R,F,Sen,12.8235
75,D,F,Rep,40.4783
51,D,M,Rep,14.2105
68,R,M,Rep,8.6200
49,R,M,Rep,96.2941
59,R,F,Rep,21.5161
56,R,M,Rep,10.7143
71,R,M,Rep,48.0000
63,R,M,Rep,1.0204
61,R,M,Sen,144.2097
60,D,M,Rep,11.2308
68,D,M,Rep,20.6364
64,R,M,Rep,18.0435
57,D,M,Rep,26.8966
57,R,M,Rep,11.7692
48,D,F,Rep,69.0000
63,D,M,Rep,25.3333
60,D,M,Rep,58.0476
52,D,M,Sen,14.1250
60,R,M,Sen,21.0233
38,D,M,Rep,33.8000
46,R,M,Rep,68.3962
58,R,M,Rep,25.3333
63,D,M,Rep,44.9762
59,D,F,Rep,25.4194
56,D,M,Rep,37.2222
51,D,M,Rep,2.0667
47,R,M,Rep,15.7037
49,D,M,Sen,76.9375
51,D,M,Rep,60.8571
38,D,M,Rep,14.4074
62,R,M,Rep,76.3333
46,R,M,Rep,74.0000
70,R,M,Rep,4.3333
35,R,M,Rep,35.7500
52,R,M,Rep,41.0000
42,R,M,Sen,102.6667
65,D,M,Rep,7.0385
55,D,F,Rep,15.0000
70,D,F,Rep,41.4571
86,D,M,Rep,43.0526
66,D,M,Rep,25.4412
59,D,M,Rep,7.2128
68,D,M,Sen,65.3846
51,R,M,Rep,21.0000
57,D,M,Sen,23.4828
46,D,M,Rep,21.5714
45,R,M,Rep,40.3077
41,R,M,Rep,34.2963
47,R,M,Rep,37.8519
49,R,M,Rep,26.5185
51,D,F,Rep,31.2500
50,R,M,Rep,1.0781
43,R,M,Rep,52.5000
49,D,M,Rep,40.4000
34,R,M,Rep,114.3333
45,D,F,Rep,61.6667
66,D,M,Rep,10.6970
70,D,F,Rep,17.9231
69,R,M,Sen,15.4348
49,D,M,Rep,73.6230
54,D,F,Rep,43.0952
49,R,F,Rep,82.2414
63,D,M,Rep,8.6667
53,D,F,Rep,43.0000
71,D,M,Rep,10.0294
56,D,M,Rep,91.9130
79,D,F,Sen,45.1429
50,R,M,Sen,8.1964
61,R,M,Rep,36.2931
55,R,M,Rep,16.7143
52,R,M,Rep,20.1961
69,R,F,Rep,31.7455
49,R,M,Rep,17.4074
57,D,M,Rep,73.5000
60,D,F,Rep,35.2353
61,R,M,Rep,15.2381
40,R,M,Rep,24.5769
50,R,M,Rep,33.6667
50,R,M,Rep,48.6154
59,R,M,Rep,64.4074
64,D,F,Rep,44.6667
62,R,F,Sen,46.6667
60,R,M,Rep,30.0213
57,R,M,Sen,37.8983
70,R,F,Rep,26.2424
79,R,M,Sen,39.5385
65,D,M,Rep,4.1053
59,D,M,Rep,34.7917
53,R,M,Rep,51.2500
58,R,M,Rep,12.3404
70,R,M,Rep,31.4583
65,D,M,Rep,22.4792
59,R,M,Rep,33.1600
65,D,M,Rep,4.1471
68,D,M,Rep,126.4390
43,R,M,Rep,51.3548
38,R,M,Rep,15.8889
58,R,M,Rep,39.4074
48,R,M,Rep,3.8519
54,R,M,Rep,99.1852
48,R,M,Rep,34.3704
44,R,M,Rep,151.5667
55,R,M,Rep,20.3333
43,R,M,Rep,6.8148
31,D,F,Rep,29.3333
51,D,M,Rep,103.3333
73,D,M,Sen,43.6316
72,R,M,Rep,22.0000
79,R,M,Sen,33.0800
72,D,M,Rep,24.9259
73,D,M,Rep,77.2800
71,D,M,Rep,12.2364
55,R,M,Rep,7.1569
53,D,M,Rep,78.0625
52,R,M,Sen,49.8000
65,D,F,Sen,66.3659
56,R,M,Rep,26.6735
41,D,M,Sen,63.0000
