R,4947
R,11565
R,2649
R,24929
R,2143
R,5786
R,10844
D,10357
D,3684
D,2130
R,23410
R,468004
D,25174
R,7951
D,2918
D,27829
R,18185
D,4501
R,12721
D,3583
R,8275
R,3789
D,6641
R,10778
R,582
D,1104
D,4953
R,2378
R,175742
R,7788
D,14784
R,12600
R,8079
R,9965
D,10862
D,10313
R,4055
D,16430
R,7990
R,5651
R,4611
R,3757
D,8972
D,1540
D,993
R,778
R,902
R,1437
R,706
D,1471
D,880
R,2575
R,12167
D,4922
D,14860
D,6337
R,3170
R,5096
D,2795
D,16736
R,8809
R,2177
R,62467
R,3352
D,7127
D,3882
R,2904
R,22362
D,3808
D,3694
R,5517
R,142391
R,5530
R,4469
R,8317
R,3362
R,40188
D,740
D,6667
R,2252
D,4210
R,3300
D,4482
D,6615
D,5794
D,10227
R,15006
D,5571
R,36428
R,9456
D,4266
D,5157
D,4075
D,313
R,3897
D,1437
D,643
D,7211
R,519
R,449
R,244
R,940
R,623
R,42669
D,4788
D,7224
D,7653
D,6471
D,6174
D,5159
D,25276
R,4373
D,5864
D,5252
R,3525
R,7519
R,6270
R,3457
D,677
R,758
R,784
D,605
R,1280
D,1358
D,2780
D,4445
R,1975
D,41199
D,9879
R,7949
D,260
D,1061
D,4002
D,6917
D,16245
R,17109
R,9580
R,8980
R,7194
R,9406
R,3331
D,598
D,7111
R,6450
R,2943
R,3546
R,4496
R,5245
D,676
R,1827
R,7024
R,36472
R,5102
R,67125
D,3098
D,21645
R,839
R,5737
R,10632
D,8806
R,9077
D,3449
D,6779
R,6102
R,2716
R,4289
R,2877
R,6400
R,11319
R,7184
R,3740
R,3145
D,764
D,628
D,10824
R,1789
R,5005
D,3030
D,29430
D,9580
R,8113
D,8704
R,5385
D,6785
R,8545
D,852
D,9149
D,14044
D,3268
R,3866
R,921
R,4019
R,4159
R,3258
R,5410
R,4927
R,4175
R,3822
R,2141
D,2571
D,470
R,622
D,1386
R,1182
D,458
D,1407
R,7189
R,80078
D,10098
D,6766
D,5705
R,1734
D,5723
R,7919
D,6913
R,13142
R,9397
R,5669
R,3966
R,13689
R,965
D,1040
D,4165
R,12496
R,7676
R,17001
R,14487
R,4689
D,814
D,2796
R,658
R,6059
D,3246
D,2297
D,556
D,1021
I,1742
R,8149
D,10793
D,11084
D,9647
D,6962
D,20497
D,2672
D,4637
D,7399
D,9008
R,3172
D,5735
D,6093
D,1735
D,1754
R,1048
D,688
R,11536
D,5463
R,7024
R,4868
R,6985
R,25131
R,367
D,777
D,621
D,4806
D,14193
R,1798403
D,4349
D,7177
R,13891
D,6984
D,3310
R,10106
D,24688
D,17446
D,8821
D,7807
R,9765
D,12497
D,5260
R,2372
D,6449
D,2646
D,6122
R,6641
R,3863
R,15964
R,10336
R,4333
R,8996
R,14279
D,7883
D,4421
R,34831
D,1618
D,3972
D,562
D,18173
R,5829
R,3443
R,3315
R,3294
R,4842
D,10873
D,695
R,1177
D,1082
R,806
R,1151
D,481
D,4474
D,1504
D,29000
D,779
D,9051
D,3670
R,103
R,7097
R,10298
R,2255
R,3822
D,484
R,3267
D,2644
D,8721
D,2274
D,320304
R,2697
R,28009
D,4276
R,3561
D,4604
R,18765
R,7724
D,6651
R,9022
D,3449
D,17603
D,8243
D,726
R,5724
R,3180
R,3566
R,177324
D,322
R,1593
R,634
D,333
D,7188
D,13199
D,4328
D,98852
R,6653
D,8905
R,1351
R,16022
D,1081
R,3211
D,2239
R,343185
R,3468
R,7337
D,2495
D,14189
R,7337
R,10503
R,5645
R,10014
R,2772
R,4094
R,3863
D,4066
R,4631
R,6132
R,6504
R,5718
R,2952
R,11845
R,800
R,340
D,511
R,833
D,11780
I,149654
D,52147
D,4410
R,384
D,7001
R,9741
R,8469
D,3918
R,9283
D,6089
D,5448
R,9884
D,10590
R,17196
D,10339
R,1795
D,4834
R,7287
D,3009
D,3418
D,4955
D,640
R,1494
D,8337
R,15441
D,5965
D,9854
R,6919
R,23738
D,3593
R,4495
R,4468
R,2592
R,3958
D,521
D,1919
R,523
D,1260
D,2127
R,1086
R,14098
D,2764
R,5761
R,19941
R,327
R,3258
D,4288
R,6271
D,2467
D,4947
R,3436
D,964
R,7047
D,20257
D,8888
D,2482
D,2476
D,11979
R,343
D,518
D,276
D,16922
D,1629
D,1470
R,1787
R,5674
R,2883
D,15364
R,7447
R,1958
R,3903
R,5037
D,9581
R,10510
D,38491
R,2725
D,3978
R,4693
R,1405
R,625
R,377
R,337
R,162
D,15942
R,5469
D,4410
R,4419
R,4085
R,519
