47,R,M,Rep,62
72,R,M,Sen,352
66,R,M,Rep,201
32,R,M,Rep,1389
54,R,M,Rep,1177
65,R,M,Rep,2
63,R,M,Rep,58
55,D,M,Rep,1792
66,D,M,Rep,426
64,D,M,Rep,247
63,R,M,Sen,7716
63,R,M,Rep,13700
72,D,F,Sen,76
57,R,M,Rep,223
66,D,F,Rep,143
60,D,M,Sen,39
57,R,M,Sen,3852
68,D,M,Rep,546
62,R,M,Sen,272
62,D,M,Rep,1969
60,R,F,Rep,1781
53,R,M,Rep,443
79,D,F,Rep,405
62,R,M,Rep,698
61,R,M,Rep,95
65,D,M,Rep,125
57,D,M,Rep,154
57,R,M,Rep,116
57,R,F,Rep,3955
50,R,M,Rep,1180
55,D,M,Rep,11417
61,R,M,Rep,10741
60,R,M,Sen,352
66,R,M,Rep,2176
51,D,M,Sen,484
48,D,M,Sen,49
57,R,M,Rep,1666
59,D,F,Rep,14975
60,R,M,Rep,7752
62,R,F,Rep,1119
58,R,M,Rep,1984
50,R,M,Rep,681
67,D,M,Sen,327
58,D,F,Rep,803
67,D,M,Rep,5
61,R,M,Rep,313
39,R,M,Rep,263
37,R,M,Rep,551
52,R,F,Rep,73
51,D,F,Rep,1762
48,D,M,Rep,37
59,R,M,Rep,68
59,R,M,Rep,6961
54,D,F,Sen,0
69,D,M,Sen,140
66,D,M,Sen,420
60,R,M,Rep,887
69,R,M,Sen,183
67,D,F,Rep,144
72,D,M,Rep,860
69,R,M,Sen,436
82,R,M,Rep,456
65,R,M,Sen,139
75,R,M,Sen,296
83,D,M,Rep,468
58,D,M,Rep,257
61,R,M,Sen,329
60,R,F,Sen,518
75,D,F,Rep,693
51,D,M,Rep,196
68,R,M,Rep,113
49,R,M,Rep,8872
59,R,F,Rep,805
56,R,M,Rep,604
71,R,M,Rep,2863
63,R,M,Rep,33
61,R,M,Sen,8364
60,D,M,Rep,263
68,D,M,Rep,348
64,R,M,Rep,1422
57,D,M,Rep,1390
57,R,M,Rep,275
48,D,F,Rep,2282
63,D,M,Rep,296
60,D,M,Rep,1735
52,D,M,Sen,169
60,R,M,Sen,363
38,D,M,Rep,522
46,R,M,Rep,22141
58,R,M,Rep,1467
63,D,M,Rep,153
59,D,F,Rep,816
56,D,M,Rep,728
51,D,M,Rep,66
47,R,M,Rep,298
49,D,M,Sen,103
51,D,M,Rep,408
38,D,M,Rep,396
62,R,M,Rep,30
46,R,M,Rep,291
70,R,M,Rep,69
35,R,M,Rep,209
52,R,M,Rep,210
42,R,M,Sen,1875
65,D,M,Rep,542
55,D,F,Rep,7052
70,D,F,Rep,602
86,D,M,Rep,954
66,D,M,Rep,265
59,D,M,Rep,29
68,D,M,Sen,684
51,R,M,Rep,134
57,D,M,Sen,249
46,D,M,Rep,834
45,R,M,Rep,1058
41,R,M,Rep,2560
47,R,M,Rep,1118
49,R,M,Rep,398
51,D,F,Rep,193
50,R,M,Rep,37
43,R,M,Rep,311
49,D,M,Rep,71
34,R,M,Rep,947
45,D,F,Rep,1278
66,D,M,Rep,229
70,D,F,Rep,225
69,R,M,Sen,234
49,D,M,Rep,1549
54,D,F,Rep,187
49,R,F,Rep,4373
63,D,M,Rep,11
53,D,F,Rep,396
71,D,M,Rep,405
56,D,M,Rep,875
79,D,F,Sen,122
50,R,M,Sen,199
61,R,M,Rep,5062
55,R,M,Rep,1183
52,R,M,Rep,2109
69,R,F,Rep,1214
49,R,M,Rep,25
57,D,M,Rep,1012
60,D,F,Rep,1122
61,R,M,Rep,165
40,R,M,Rep,499
50,R,M,Rep,620
50,R,M,Rep,708
59,R,M,Rep,1230
64,D,F,Rep,167
62,R,F,Sen,100
60,R,M,Rep,144
57,R,M,Sen,2144
70,R,F,Rep,886
79,R,M,Sen,14948
65,D,M,Rep,49
59,D,M,Rep,152
53,R,M,Rep,107
58,R,M,Rep,184
70,R,M,Rep,1028
65,D,M,Rep,223
59,R,M,Rep,268
65,D,M,Rep,21
68,D,M,Rep,6006
43,R,M,Rep,3007
38,R,M,Rep,402
58,R,M,Rep,3237
48,R,M,Rep,161
54,R,M,Rep,2416
48,R,M,Rep,349
44,R,M,Rep,3531
55,R,M,Rep,370
43,R,M,Rep,68
31,D,F,Rep,35
51,D,M,Rep,226
73,D,M,Sen,61
72,R,M,Rep,378
79,R,M,Sen,37
72,D,M,Rep,367
73,D,M,Rep,1568
71,D,M,Rep,190
55,R,M,Rep,216
53,D,M,Rep,1147
52,R,M,Sen,540
65,D,F,Sen,1095
56,R,M,Rep,371
41,D,M,Sen,11
46,D,M,Rep,615
59,D,F,Sen,443
61,D,F,Rep,588
62,R,M,Rep,332
56,R,M,Rep,188
52,R,F,Rep,390
51,R,M,Rep,73
34,R,F,Rep,925
44,R,M,Rep,1384
44,R,M,Rep,2660
47,R,M,Rep,1682
43,R,M,Rep,456
56,R,M,Sen,44
61,D,F,Rep,699
60,D,M,Rep,0
44,R,M,Rep,118
39,D,M,Rep,443
41,R,M,Rep,670
49,D,M,Rep,14
57,D,F,Sen,76
78,R,M,Sen,641
59,R,M,Rep,24086
