M,62
M,352
M,201
M,1389
M,1177
M,2
M,58
M,1792
M,426
M,247
M,7716
M,13700
F,76
M,223
F,143
M,39
M,3852
M,546
M,272
M,1969
F,1781
M,443
F,405
M,698
M,95
M,125
M,154
M,116
F,3955
M,1180
M,11417
M,10741
M,352
M,2176
M,484
M,49
M,1666
F,14975
M,7752
F,1119
M,1984
M,681
M,327
F,803
M,5
M,313
M,263
M,551
F,73
F,1762
M,37
M,68
M,6961
F,0
M,140
M,420
M,887
M,183
F,144
M,860
M,436
M,456
M,139
M,296
M,468
M,257
M,329
F,518
F,693
M,196
M,113
M,8872
F,805
M,604
M,2863
M,33
M,8364
M,263
M,348
M,1422
M,1390
M,275
F,2282
M,296
M,1735
M,169
M,363
M,522
M,22141
M,1467
M,153
F,816
M,728
M,66
M,298
M,103
M,408
M,396
M,30
M,291
M,69
M,209
M,210
M,1875
M,542
F,7052
F,602
M,954
M,265
M,29
M,684
M,134
M,249
M,834
M,1058
M,2560
M,1118
M,398
F,193
M,37
M,311
M,71
M,947
F,1278
M,229
F,225
M,234
M,1549
F,187
F,4373
M,11
F,396
M,405
M,875
F,122
M,199
M,5062
M,1183
M,2109
F,1214
M,25
M,1012
F,1122
M,165
M,499
M,620
M,708
M,1230
F,167
F,100
M,144
M,2144
F,886
M,14948
M,49
M,152
M,107
M,184
M,1028
M,223
M,268
M,21
M,6006
M,3007
M,402
M,3237
M,161
M,2416
M,349
M,3531
M,370
M,68
F,35
M,226
M,61
M,378
M,37
M,367
M,1568
M,190
M,216
M,1147
M,540
F,1095
M,371
M,11
M,615
F,443
F,588
M,332
M,188
F,390
M,73
F,925
M,1384
M,2660
M,1682
M,456
M,44
F,699
M,0
M,118
M,443
M,670
M,14
F,76
M,641
M,24086
M,241
F,282
F,799
M,118
M,49
M,114
M,312
M,5254
F,4457
M,138
M,540
M,79
M,1291
F,159
M,508
M,75
M,337
M,1720
M,48
M,186
F,541
M,590
M,105
M,816
M,69
M,2330
M,23
F,802
M,220
M,1073
M,88
M,55
M,0
M,4055
M,162
F,37
F,347
F,132
F,529
M,127
M,307
M,1517
M,1035
M,122
M,115
M,481
M,4536
M,133
F,6214
M,496
M,404
M,1998
M,675
M,1212
F,227
F,3308
M,67
M,284
F,57
M,487
M,160
M,613
M,129
M,5234
M,459
F,6
M,211
M,176
M,1082
F,1442
M,138
M,48
M,93
F,651
M,7
F,405
M,448
F,320
M,3513
M,81
M,2239
F,5131
F,339
F,1387
M,11028
M,174
F,1410
M,6
M,82
M,0
M,371
M,185
M,505
M,4113
M,742
M,272
M,1495
F,315
M,129
M,1042
M,45
M,775
M,12
M,73
M,5
F,41
F,178
M,0
M,2439
F,214
M,172
M,378
F,149
M,1304
M,666
M,493
M,0
F,253
M,48
M,1648
M,2323
M,506
M,165
M,3126
M,473
M,68
M,2200
M,313
M,5050
F,254
M,222
M,930
M,1291
M,1130
M,226
M,179
M,356
M,791
M,185
M,1462
M,2679
M,0
M,134
M,416
M,624
M,320
F,952
F,206
M,387
M,118
M,1
M,153
M,2878
M,937
M,983
M,3088
M,4185
M,181
M,4322
M,128
M,477
M,511
M,1319
M,1625
F,849
M,2999
M,1409
M,34
M,91
M,215
M,293
M,1
M,306
F,11999
M,1114
M,27825
M,847
M,165
M,366
M,591
M,127
M,14
M,808
F,154
M,673
M,3578
F,2340
M,96
F,393
M,34
M,765
M,704
F,758
M,217
M,156
F,418
M,139
F,750
M,681
M,591
F,5697
M,1363
M,446
F,317
M,508
M,809
M,212
M,202
M,209
F,484
M,245
M,604
M,125
M,177
M,266
M,170
M,458
M,16494
M,213
M,548
F,669
M,276
F,106
M,1199
M,1112
M,772
M,2388
M,187
M,5
F,108
M,798
M,2179
M,62
M,345
M,20
F,859
M,0
M,129
M,126
M,276
M,306
M,250
M,150
M,245
M,437
M,320
M,1261
M,6222
M,11163
M,322
F,991
M,628
F,541
F,173
M,75
M,219
M,83
F,226
M,321
M,207
M,556
M,333
M,7
