AnderCrenshaw,Rep,Ander,Crenshaw,R,FL,M,68,431,50,5517,113
gopleader,Rep,Eric,Cantor,R,VA,M,49,4911,51,142391,8872
RepShelley,Rep,Shelley,Capito,R,WV,F,59,667,31,5530,805
congculberson,Rep,John,Culberson,R,TX,M,56,525,49,4469,604
JudgeCarter,Rep,John,Carter,R,TX,M,71,2496,52,8317,2863
tomcoleok04,Rep,Tom,Cole,R,OK,M,63,50,49,3362,33
JohnCornyn,Sen,John,Cornyn,R,TX,M,61,8941,62,40188,8364
repjimcosta,Rep,Jim,Costa,D,CA,M,60,292,26,740,263
repcleaver,Rep,Emanuel,Cleaver,D,MO,M,68,681,33,6667,348
ConawayTX11,Rep,K.,Conaway,R,TX,M,64,415,23,2252,1422
RepCuellar,Rep,Henry,Cuellar,D,TX,M,57,780,29,4210,1390
RepJohnCampbell,Rep,John,Campbell,R,CA,M,57,306,26,3300,275
YvetteClarke,Rep,Yvette,Clarke,D,NY,F,48,1863,27,4482,2282
repcohen,Rep,Steve,Cohen,D,TN,M,63,836,33,6615,296
repjoecourtney,Rep,Joe,Courtney,D,CT,M,60,2438,42,5794,1735
SenBobCasey,Sen,Robert,Casey,D,PA,M,52,452,32,10227,169
SenBobCorker,Sen,Bob,Corker,R,TN,M,60,904,43,15006,363
RepAndreCarson,Rep,André,Carson,D,IN,M,38,1014,30,5571,522
jasoninthehouse,Rep,Jason,Chaffetz,R,UT,M,46,3625,53,36428,22141
RepMikeCoffman,Rep,Mike,Coffman,R,CO,M,58,1292,51,9456,1467
GerryConnolly,Rep,Gerald,Connolly,D,VA,M,63,1889,42,4266,153
RepJudyChu,Rep,Judy,Chu,D,CA,F,59,788,31,5157,816
johncarneyde,Rep,John,Carney,D,DE,M,56,1005,27,4075,728
repcicilline,Rep,David,Cicilline,D,RI,M,51,31,15,313,66
RepRickCrawford,Rep,Eric,Crawford,R,AR,M,47,424,27,3897,298
SenCoonsOffice,Sen,Chris,Coons,D,DE,M,49,1231,16,1437,103
RepCartwright,Rep,Matthew,Cartwright,D,PA,M,51,426,7,643,408
JoaquinCastrotx,Rep,Joaquin,Castro,D,TX,M,38,389,27,7211,396
RepChrisCollins,Rep,Chris,Collins,R,NY,M,62,229,3,519,30
RepDougCollins,Rep,Doug,Collins,R,GA,M,46,222,3,449,291
RepPaulCook,Rep,Paul,Cook,R,CA,M,70,13,3,244,69
RepTomCotton,Rep,Tom,Cotton,R,AR,M,35,143,4,940,209
RepKevinCramer,Rep,Kevin,Cramer,R,ND,M,52,123,3,623,210
SenTedCruz,Sen,Ted,Cruz,R,TX,M,42,308,3,42669,1875
RepPeterDeFazio,Rep,Peter,DeFazio,D,OR,M,65,183,26,4788,542
RepDianaDeGette,Rep,Diana,DeGette,D,CO,F,55,720,48,7224,7052
rosadelauro,Rep,Rosa,DeLauro,D,CT,F,70,1451,35,7653,602
john_dingell,Rep,John,Dingell,D,MI,M,86,1636,38,6471,954
RepLloydDoggett,Rep,Lloyd,Doggett,D,TX,M,66,865,34,6174,265
USRepMikeDoyle,Rep,Michael,Doyle,D,PA,M,59,339,47,5159,29
SenatorDurbin,Sen,Richard,Durbin,D,IL,M,68,1700,26,25276,684
MarioDB,Rep,Mario,Diaz-Balart,R,FL,M,51,1008,48,4373,134
SenDonnelly,Sen,Joe,Donnelly,D,IN,M,57,681,29,5864,249
repteddeutch,Rep,Theodore,Deutch,D,FL,M,46,755,35,5252,834
RepJeffDenham,Rep,Jeff,Denham,R,CA,M,45,1048,26,3525,1058
RepSeanDuffy,Rep,Sean,Duffy,R,WI,M,41,926,27,7519,2560
RepJeffDuncan,Rep,Jeff,Duncan,R,SC,M,47,1022,27,6270,1118
DesJarlaisTN04,Rep,Scott,DesJarlais,R,TN,M,49,716,27,3457,398
RepDelBene,Rep,Suzan,DelBene,D,WA,F,51,125,4,677,193
stevedaines,Rep,Steve,Daines,R,MT,M,50,69,64,758,37
RodneyDavis,Rep,Rodney,Davis,R,IL,M,43,210,4,784,311
RepJohnDelaney,Rep,John,Delaney,D,MD,M,49,202,5,605,71
RepDeSantis,Rep,Ron,DeSantis,R,FL,M,34,343,3,1280,947
repduckworth,Rep,Tammy,Duckworth,D,IL,F,45,185,3,1358,1278
RepEliotEngel,Rep,Eliot,Engel,D,NY,M,66,353,33,2780,229
RepAnnaEshoo,Rep,Anna,Eshoo,D,CA,F,70,466,26,4445,225
SenatorEnzi,Sen,Michael,Enzi,R,WY,M,69,355,23,1975,234
keithellison,Rep,Keith,Ellison,D,MN,M,49,4491,61,41199,1549
repdonnaedwards,Rep,Donna,Edwards,D,MD,F,54,1810,42,9879,187
RepReneeEllmers,Rep,Renee,Ellmers,R,NC,F,49,2385,29,7949,4373
repbillenyart,Rep,William,Enyart,D,IL,M,63,26,3,260,11
RepEsty,Rep,Elizabeth,Esty,D,CT,F,53,129,3,1061,396
RepSamFarr,Rep,Sam,Farr,D,CA,M,71,341,34,4002,405
chakafattah,Rep,Chaka,Fattah,D,PA,M,56,4228,46,6917,875
senfeinstein,Sen,Dianne,Feinstein,D,CA,F,79,632,14,16245,122
jeffflake,Sen,Jeff,Flake,R,AZ,M,50,459,56,17109,199
Randy_Forbes,Rep,J.,Forbes,R,VA,M,61,2105,58,9580,5062
RepTrentFranks,Rep,Trent,Franks,R,AZ,M,55,819,49,8980,1183
JeffFortenberry,Rep,Jeff,Fortenberry,R,NE,M,52,1030,51,7194,2109
virginiafoxx,Rep,Virginia,Foxx,R,NC,F,69,1746,55,9406,1214
RepFitzpatrick,Rep,Michael,Fitzpatrick,R,PA,M,49,470,27,3331,25
RepBillFoster,Rep,Bill,Foster,D,IL,M,57,147,2,598,1012
RepMarciaFudge,Rep,Marcia,Fudge,D,OH,F,60,1198,34,7111,1122
RepFleming,Rep,John,Fleming,R,LA,M,61,640,42,6450,165
RepFincherTN08,Rep,Stephen,Fincher,R,TN,M,40,639,26,2943,499
RepChuck,Rep,Charles,Fleischmann,R,TN,M,50,909,27,3546,620
farenthold,Rep,Blake,Farenthold,R,TX,M,50,2528,52,4496,708
RepBillFlores,Rep,Bill,Flores,R,TX,M,59,1739,27,5245,1230
RepLoisFrankel,Rep,Lois,Frankel,D,FL,F,64,134,3,676,167
SenatorFischer,Sen,Deb,Fischer,R,NE,F,62,140,3,1827,100
RepGoodlatte,Rep,Bob,Goodlatte,R,VA,M,60,1411,47,7024,144
GrahamBlog,Sen,Lindsey,Graham,R,SC,M,57,2236,59,36472,2144
RepKayGranger,Rep,Kay,Granger,R,TX,F,70,866,33,5102,886
ChuckGrassley,Sen,Charles,Grassley,R,IA,M,79,2570,65,67125,14948
RepGeneGreen,Rep,Gene,Green,D,TX,M,65,156,38,3098,49
LuisGutierrez,Rep,Luis,Gutierrez,D,IL,M,59,1670,48,21645,152
repgarrett,Rep,Scott,Garrett,R,NJ,M,53,205,4,839,107
JimGerlach,Rep,Jim,Gerlach,R,PA,M,58,580,47,5737,184
RepPhilGingrey,Rep,Phil,Gingrey,R,GA,M,70,1510,48,10632,1028
repraulgrijalva,Rep,Raúl,Grijalva,D,AZ,M,65,1079,48,8806,223
replouiegohmert,Rep,Louie,Gohmert,R,TX,M,59,1658,50,9077,268
RepAlGreen,Rep,Al,Green,D,TX,M,65,141,34,3449,21
RepGaramendi,Rep,John,Garamendi,D,CA,M,68,5184,41,6779,6006
reptomgraves,Rep,Tom,Graves,R,GA,M,43,1592,31,6102,3007
repcorygardner,Rep,Cory,Gardner,R,CO,M,38,429,27,2716,402
repbobgibbs,Rep,Bob,Gibbs,R,OH,M,58,1064,27,4289,3237
RepChrisGibson,Rep,Christopher,Gibson,R,NY,M,48,104,27,2877,161
RepGosar,Rep,Paul,Gosar,R,AZ,M,54,2678,27,6400,2416
tgowdysc,Rep,Trey,Gowdy,R,SC,M,48,928,27,11319,349
RepTimGriffin,Rep,Tim,Griffin,R,AR,M,44,4547,30,7184,3531
RepMGriffith,Rep,H.,Griffith,R,VA,M,55,549,27,3740,370
repmichaelgrimm,Rep,Michael,Grimm,R,NY,M,43,184,27,3145,68
tulsipress,Rep,Tulsi,Gabbard,D,HI,F,31,88,3,764,35
RepPeteGallego,Rep,Pete,Gallego,D,TX,M,51,310,3,628,226
SenatorHarkin,Sen,Thomas,Harkin,D,IA,M,73,1658,38,10824,61
DocHastings,Rep,Doc,Hastings,R,WA,M,72,374,17,1789,378
SenOrrinHatch,Sen,Orrin,Hatch,R,UT,M,79,827,25,5005,37
USRepRHinojosa,Rep,Rubén,Hinojosa,D,TX,M,72,673,27,3030,367
WhipHoyer,Rep,Steny,Hoyer,D,MD,M,73,3864,50,29430,1568
RepMikeHonda,Rep,Michael,Honda,D,CA,M,71,673,55,9580,190
RepHensarling,Rep,Jeb,Hensarling,R,TX,M,55,365,51,8113,216
RepBrianHiggins,Rep,Brian,Higgins,D,NY,M,53,3747,48,8704,1147
SenDeanHeller,Sen,Dean,Heller,R,NV,M,52,1245,25,5385,540
maziehirono,Sen,Mazie,Hirono,D,HI,F,65,2721,41,6785,1095
GreggHarper,Rep,Gregg,Harper,R,MS,M,56,1307,49,8545,371
martinheinrich,Sen,Martin,Heinrich,D,NM,M,41,126,2,852,11
jahimes,Rep,James,Himes,D,CT,M,46,2904,48,9149,615
SenatorHagan,Sen,Kay,Hagan,D,NC,F,59,1927,43,14044,443
RepHanabusa,Rep,Colleen,Hanabusa,D,HI,F,61,581,27,3268,588
RepRichardHanna,Rep,Richard,Hanna,R,NY,M,62,1303,27,3866,332
repandyharrismd,Rep,Andy,Harris,R,MD,M,56,262,4,921,188
RepHartzler,Rep,Vicky,Hartzler,R,MO,F,52,1484,27,4019,390
RepJoeHeck,Rep,Joseph,Heck,R,NV,M,51,1484,28,4159,73
herrerabeutler,Rep,Jaime,Herrera Beutler,R,WA,F,34,79,26,3258,925
conghuelskamp,Rep,Tim,Huelskamp,R,KS,M,44,2518,27,5410,1384
rephuizenga,Rep,Bill,Huizenga,R,MI,M,44,2383,27,4927,2660
rephultgren,Rep,Randy,Hultgren,R,IL,M,47,1004,27,4175,1682
RepRobertHurt,Rep,Robert,Hurt,R,VA,M,43,1098,27,3822,456
SenJohnHoeven,Sen,John,Hoeven,R,ND,M,56,133,18,2141,44
Rep_JaniceHahn,Rep,Janice,Hahn,D,CA,F,61,523,20,2571,699
RepDennyHeck,Rep,Denny,Heck,D,WA,M,60,127,3,470,0
RepHolding,Rep,George,Holding,R,NC,M,44,104,3,622,118
RepHorsford,Rep,Steven,Horsford,D,NV,M,39,285,18,1386,443
RepRichHudson,Rep,Richard,Hudson,R,NC,M,41,333,5,1182,670
RepHuffman,Rep,Jared,Huffman,D,CA,M,49,45,3,458,14
SenatorHeitkamp,Sen,Heidi,Heitkamp,D,ND,F,57,242,3,1407,76
InhofePress,Sen,James,Inhofe,R,OK,M,78,3505,50,7189,641
DarrellIssa,Rep,Darrell,Issa,R,CA,M,59,13773,50,80078,24086
RepSteveIsrael,Rep,Steve,Israel,D,NY,M,54,1071,50,10098,241
JacksonLeeTX18,Rep,Sheila,Jackson Lee,D,TX,F,63,716,42,6766,282
RepEBJ,Rep,Eddie,Johnson,D,TX,F,77,3315,33,5705,799
SamsPressShop,Rep,Sam,Johnson,R,TX,M,82,168,26,1734,118
SenJohnsonSD,Sen,Tim,Johnson,D,SD,M,66,1005,26,5723,49
RepWalterJones,Rep,Walter,Jones,R,NC,M,70,660,49,7919,114
RepHankJohnson,Rep,Henry,Johnson,D,GA,M,58,1219,49,6913,312
Jim_Jordan,Rep,Jim,Jordan,R,OH,M,49,755,52,13142,5254
RepLynnJenkins,Rep,Lynn,Jenkins,R,KS,F,49,2717,51,9397,4457
Mike_Johanns,Sen,Mike,Johanns,R,NE,M,62,550,30,5669,138
repbilljohnson,Rep,Bill,Johnson,R,OH,M,58,1236,29,3966,540
SenRonJohnson,Sen,Ron,Johnson,R,WI,M,58,660,27,13689,79
RepDaveJoyce,Rep,David,Joyce,R,OH,M,56,390,4,965,1291
RepMarcyKaptur,Rep,Marcy,Kaptur,D,OH,F,66,136,11,1040,159
repronkind,Rep,Ron,Kind,D,WI,M,50,364,38,4165,508
RepPeteKing,Rep,Peter,King,R,NY,M,69,1356,52,12496,75
JackKingston,Rep,Jack,Kingston,R,GA,M,57,958,48,7676,337
senatorkirk,Sen,Mark,Kirk,R,IL,M,53,2027,29,17001,1720
stevekingia,Rep,Steve,King,R,IA,M,63,613,46,14487,48
repjohnkline,Rep,John,Kline,R,MN,M,65,1411,43,4689,186
RepKirkpatrick,Rep,Ann,Kirkpatrick,D,AZ,F,63,156,2,814,541
USRepKeating,Rep,William,Keating,D,MA,M,60,400,27,2796,590
MikeKellyPA,Rep,Mike,Kelly,R,PA,M,64,71,5,658,105
RepKinzinger,Rep,Adam,Kinzinger,R,IL,M,35,519,28,6059,816
RepJoeKennedy,Rep,Joseph,Kennedy,D,MA,M,32,258,3,3246,69
RepDanKildee,Rep,Daniel,Kildee,D,MI,M,54,146,3,2297,2330
RepDerekKilmer,Rep,Derek,Kilmer,D,WA,M,39,59,3,556,23
RepAnnieKuster,Rep,Ann,Kuster,D,NH,F,56,220,3,1021,802
SenAngusKing,Sen,Angus,King,I,ME,M,69,194,3,1742,220
TomLatham,Rep,Tom,Latham,R,IA,M,64,581,66,8149,1073
franklautenberg,Sen,Frank,Lautenberg,D,NJ,M,89,1689,36,10793,88
SenatorLeahy,Sen,Patrick,Leahy,D,VT,M,73,1631,26,11084,55
sencarllevin,Sen,Carl,Levin,D,MI,M,78,333,40,9647,0
repsandylevin,Rep,Sander,Levin,D,MI,M,81,559,49,6962,4055
RepJohnLewis,Rep,John,Lewis,D,GA,M,73,751,48,20497,162
RepZoeLofgren,Rep,Zoe,Lofgren,D,CA,F,65,425,25,2672,37
NitaLowey,Rep,Nita,Lowey,D,NY,F,75,507,28,4637,347
senlandrieu,Sen,Mary,Landrieu,D,LA,F,57,863,17,7399,132
repbarbaralee,Rep,Barbara,Lee,D,CA,F,66,1050,26,9008,529
RepLoBiondo,Rep,Frank,LoBiondo,R,NJ,M,66,1084,27,3172,127
repjohnlarson,Rep,John,Larson,D,CT,M,64,845,46,5735,307
jimlangevin,Rep,James,Langevin,D,RI,M,48,733,51,6093,1517
RepRickLarsen,Rep,Rick,Larsen,D,WA,M,47,967,17,1735,1035
RepStephenLynch,Rep,Stephen,Lynch,D,MA,M,58,173,22,1754,122
RepDLamborn,Rep,Doug,Lamborn,R,CO,M,58,268,10,1048,115
daveloebsack,Rep,David,Loebsack,D,IA,M,60,48,13,688,481
boblatta,Rep,Robert,Latta,R,OH,M,56,3562,57,11536,4536
repbenraylujan,Rep,Ben,Luján,D,NM,M,40,717,51,5463,133
CynthiaLummis,Rep,Cynthia,Lummis,R,WY,F,58,914,49,7024,6214
Raul_Labrador,Rep,Raúl,Labrador,R,ID,M,45,508,26,4868,496
replankford,Rep,James,Lankford,R,OK,M,45,1630,28,6985,404
SenMikeLee,Sen,Mike,Lee,R,UT,M,41,1905,41,25131,1998
RepLaMalfa,Rep,Doug,LaMalfa,R,CA,M,52,109,3,367,675
RepLowenthal,Rep,Alan,Lowenthal,D,CA,M,72,166,3,777,1212
replujangrisham,Rep,Michelle,Lujan Grisham,D,NM,F,53,73,3,621,227
RepMaloney,Rep,Carolyn,Maloney,D,NY,F,67,427,25,4806,3308
markeymemo,Rep,Edward,Markey,D,MA,M,66,2403,50,14193,67
SenJohnMcCain,Sen,John,McCain,R,AZ,M,76,4813,51,1798403,284
RepMcCarthyNY,Rep,Carolyn,McCarthy,D,NY,F,69,186,34,4349,57
RepMcGovern,Rep,James,McGovern,D,MA,M,53,1393,26,7177,487
McConnellPress,Sen,Mitch,McConnell,R,KY,M,71,2117,21,13891,160
RepJimMcDermott,Rep,Jim,McDermott,D,WA,M,76,1093,36,6984,613
repmikemcintyre,Rep,Mike,McIntyre,D,NC,M,56,1081,29,3310,129
BuckMcKeon,Rep,Howard,McKeon,R,CA,M,74,1270,55,10106,5234
SenatorMenendez,Sen,Robert,Menéndez,D,NJ,M,59,2080,51,24688,459
senatorbarb,Sen,Barbara,Mikulski,D,MD,F,76,1915,36,17446,6
askgeorge,Rep,George,Miller,D,CA,M,67,1494,70,8821,211
Jim_Moran,Rep,James,Moran,D,VA,M,67,832,46,7807,176
JerryMoran,Sen,Jerry,Moran,R,KS,M,58,1429,51,9765,1082
pattymurray,Sen,Patty,Murray,D,WA,F,62,1862,23,12497,1442
GregoryMeeks,Rep,Gregory,Meeks,D,NY,M,59,856,49,5260,138
repgarymiller,Rep,Gary,Miller,R,CA,M,64,159,34,2372,48
RepJimMatheson,Rep,Jim,Matheson,D,UT,M,53,1020,46,6449,93
BettyMcCollum04,Rep,Betty,McCollum,D,MN,F,58,1658,13,2646,651
RepMikeMichaud,Rep,Michael,Michaud,D,ME,M,58,392,50,6122,7
CandiceMiller,Rep,Candice,Miller,R,MI,F,58,362,58,6641,405
RepTimMurphy,Rep,Tim,Murphy,R,PA,M,60,661,38,3863,448
lisamurkowski,Sen,Lisa,Murkowski,R,AK,F,55,1731,52,15964,320
PatrickMcHenry,Rep,Patrick,McHenry,R,NC,M,37,1498,49,10336,3513
McCaulPressShop,Rep,Michael,McCaul,R,TX,M,51,343,49,4333,81
