Rep,Brad,Ellsworth,D,IN,0,M,54
Rep,Eni,Faleomavaega,D,AS,1,M,69
Sen,Russell,Feingold,D,WI,0,M,60
Rep,Bob,Filner,D,CA,0,M,70
Rep,Barney,Frank,D,MA,0,M,73
Rep,Rodney,Frelinghuysen,R,NJ,1,M,67
Rep,Vito,Fossella,R,NY,0,M,48
Rep,Michael,Ferguson,R,NJ,0,M,42
Rep,Tom,Feeney,R,FL,0,M,54
Rep,Luis,Fortuño,R,PR,0,M,52
Rep,Mary,Fallin,R,OK,0,F,58
Sen,Alan,Franken,D,MN,1,M,61
Rep,Elton,Gallegly,R,CA,0,M,69
Rep,Wayne,Gilchrest,R,MD,0,M,67
Rep,Paul,Gillmor,R,OH,0,M,74
Rep,Virgil,Goode,R,VA,0,M,66
Rep,Barton,Gordon,D,TN,0,M,64
Sen,Judd,Gregg,R,NH,0,M,66
Rep,Charles,Gonzalez,D,TX,0,M,68
Rep,Sam,Graves,R,MO,1,M,49
Rep,Gabrielle,Giffords,D,AZ,0,F,42
Sen,Kirsten,Gillibrand,D,NY,1,F,46
Rep,Alan,Grayson,D,FL,1,M,55
Rep,Parker,Griffith,R,AL,0,M,70
Rep,Brett,Guthrie,R,KY,1,M,49
Sen,Carte,Goodwin,D,WV,0,M,39
Rep,Frank,Guinta,R,NH,0,M,42
Rep,Joe,Garcia,D,FL,1,M,49
Rep,Ralph,Hall,R,TX,1,M,90
Rep,Jane,Harman,D,CA,0,F,67
Rep,J.,Hastert,R,IL,0,M,71
Rep,Alcee,Hastings,D,FL,1,M,76
Rep,Walter,Herger,R,CA,0,M,67
Rep,Maurice,Hinchey,D,NY,0,M,74
Rep,David,Hobson,R,OH,0,M,76
Rep,Peter,Hoekstra,R,MI,0,M,59
Rep,Tim,Holden,D,PA,0,M,56
Rep,Darlene,Hooley,D,OR,0,F,74
Rep,Kenny,Hulshof,R,MO,0,M,54
Rep,Duncan,Hunter,R,CA,0,M,64
Sen,Kay,Hutchison,R,TX,0,F,69
Sen,Charles,Hagel,R,NE,0,M,66
Rep,Robin,Hayes,R,NC,0,M,67
Rep,Baron,Hill,D,IN,0,M,59
Rep,Rush,Holt,D,NJ,1,M,64
Rep,Stephanie,Herseth Sandlin,D,SD,0,F,42
Rep,John,Hall,D,NY,0,M,64
Rep,Phil,Hare,D,IL,0,M,64
Rep,Paul,Hodes,D,NH,0,M,62
Rep,Deborah,Halvorson,D,IL,0,F,55
Rep,Duncan,Hunter,R,CA,1,M,36
Rep,Nan,Hayworth,R,NY,0,F,53
Rep,Kathleen,Hochul,D,NY,0,F,54
Rep,Bob,Inglis,R,SC,0,M,53
Sen,Daniel,Inouye,D,HI,0,M,88
Rep,Jay,Inslee,D,WA,0,M,62
Sen,John,Isakson,R,GA,1,M,68
Rep,William,Jefferson,D,LA,0,M,66
Rep,Jesse,Jackson,D,IL,0,M,48
Rep,Stephanie,Jones,D,OH,0,F,63
Rep,Timothy,Johnson,R,IL,0,M,66
Rep,Bobby,Jindal,R,LA,0,M,41
Rep,Paul,Kanjorski,D,PA,0,M,76
Sen,Edward,Kennedy,D,MA,0,M,81
Rep,Patrick,Kennedy,D,RI,0,M,45
Sen,John,Kerry,D,MA,0,M,69
Rep,Dale,Kildee,D,MI,0,M,83
Rep,Carolyn,Kilpatrick,D,MI,0,F,67
Rep,Joseph,Knollenberg,R,MI,0,M,79
Sen,Herbert,Kohl,D,WI,0,M,78
Rep,Dennis,Kucinich,D,OH,0,M,66
Sen,Jon,Kyl,R,AZ,0,M,71
Rep,Ric,Keller,R,FL,0,M,48
Rep,John,Kuhl,R,NY,0,M,70
Rep,Steve,Kagen,D,WI,0,M,63
Rep,Ron,Klein,D,FL,0,M,55
Sen,Amy,Klobuchar,D,MN,1,F,52
Rep,Larry,Kissell,D,NC,0,M,62
Rep,Suzanne,Kosmas,D,FL,0,F,69
Rep,Frank,Kratovil,D,MD,0,M,44
Rep,Mary Jo,Kilroy,D,OH,0,F,64
Sen,Edward,Kaufman,D,DE,0,M,74
Sen,Paul,Kirk,D,MA,0,M,75
Sen,Timothy,Kaine,D,VA,1,M,55
Sen,Blanche,Lincoln,D,AR,0,F,52
Rep,Nicholas,Lampson,D,TX,0,M,68
Rep,Tom,Lantos,D,CA,0,M,85
Rep,Jerry,Lewis,R,CA,0,M,78
Rep,Ron,Lewis,R,KY,0,M,66
Sen,Joseph,Lieberman,I,CT,0,M,71
