AnderCrenshaw,1
askgeorge,29
AustinScottGA08,5
BachusAL06,0
BennieGThompson,45
BettyMcCollum04,15
BillOwensNY,20
BillPascrell,0
blumenauermedia,36
boblatta,37
BradSherman,1
brucebraley,7
BuckMcKeon,79
Call_Me_Dutch,43
CandiceMiller,148
CantwellPress,14
cathymcmorris,35
cbrangel,52
chakafattah,98
chelliepingree,20
chrisvanhollen,5
ChuckGrassley,0
chuckschumer,15
clyburn,25
ConawayTX11,57
congbillposey,0
congculberson,22
conghuelskamp,18
CongMikeSimpson,8
congpalazzo,28
CongressmanDan,11
CongressmanGT,11
CongressmanRuiz,2
CynthiaLummis,18
DarrellIssa,57
daveloebsack,4
davereichert,11
DelegateDonna,30
DesJarlaisTN04,17
DocHastings,65
DorisMatsui,39
DrPhilRoe,31
EleanorNorton,6
farenthold,33
franklautenberg,5
FrankPallone,2
GerryConnolly,8
gkbutterfield,7
gopleader,34
GOPWhip,32
gracenapolitano,34
GrahamBlog,12
GreggHarper,24
GregoryMeeks,23
herrerabeutler,5
HowardCoble,14
InhofePress,39
JackKingston,14
JacksonLeeTX18,18
jahimes,21
janschakowsky,7
jasoninthehouse,52
jeffflake,6
JeffFortenberry,14
JerryMoran,24
JimGerlach,21
jimlangevin,18
JimPressOffice,26
Jim_Jordan,21
Jim_Moran,51
JoaquinCastrotx,139
JohnBoozman,5
johncarneyde,49
JohnCornyn,49
john_dingell,7
JudgeCarter,18
JudgeTedPoe,10
keithellison,34
KeithRothfus,48
KenCalvert,28
LamarSmithTX21,50
LEETERRYNE,15
lisamurkowski,4
lorettasanchez,29
louiseslaughter,41
LuisGutierrez,73
MacTXPress,22
MarioDB,54
markamodeinv2,69
markeymemo,56
MarkUdall,33
MarkWarner,56
MarshaBlackburn,36
martinheinrich,28
MaxineWaters,40
maziehirono,43
mccaskilloffice,68
McCaulPressShop,56
McConnellPress,48
MelWattNC12,0
michaelcburgess,21
MicheleBachmann,55
mikecrapo,8
MikeKellyPA,11
Mike_Johanns,0
NancyPelosi,13
nikiinthehouse,15
NitaLowey,49
NydiaVelazquez,0
OlsonPressShop,8
PatrickMcHenry,15
pattymurray,54
PaulTonko,32
pedropierluisi,46
PeterRoskam,30
petesessions,25
RandyNeugebauer,21
Randy_Forbes,0
Raul_Labrador,58
repaaronschock,71
RepAdamSchiff,30
RepAdrianSmith,29
repalannunnelee,32
RepAlGreen,2
RepAndreCarson,42
RepAndyBarr,36
repandyharrismd,30
RepAnnaEshoo,61
RepAnnieKuster,39
RepAnnWagner,19
repbarbaralee,65
repbecerra,58
repbenraylujan,0
repbera,30
repbillenyart,1
RepBillFlores,49
RepBillFoster,50
repbilljohnson,39
RepBillShuster,3
RepBobbyRush,9
repbobbyscott,34
repbobgibbs,33
RepBonamici,19
RepBoustany,16
RepBradWenstrup,9
RepBrady,42
RepBrianHiggins,47
RepCartwright,60
RepCheri,30
RepChrisCollins,20
RepChrisGibson,56
repchrisstewart,43
RepChuck,16
repcicilline,6
repcleaver,35
repcohen,48
RepCorrineBrown,56
repcorygardner,17
RepCuellar,75
RepDanKildee,45
RepDanMaffei,102
RepDaveCamp,48
RepDaveJoyce,21
RepDavid,45
RepDavidEPrice,50
repdavidscott,39
RepDavidValadao,10
RepDelBene,47
RepDennisRoss,11
RepDennyHeck,64
RepDerekKilmer,16
RepDeSantis,59
RepDianaDeGette,3
RepDianeBlack,30
repdinatitus,28
RepDLamborn,37
RepDonaldPayne,27
repdonnaedwards,59
repdonyoung,30
RepDougCollins,42
repduckworth,32
RepEBJ,30
RepEdRoyce,52
repedwhitfield,10
RepEliotEngel,20
RepErikPaulsen,27
RepEsty,29
RepFilemonVela,14
RepFincherTN08,35
RepFitzpatrick,15
RepFleming,20
RepFredUpton,39
RepGaramendi,107
repgarrett,43
repgarymiller,36
RepGaryPeters,48
RepGeneGreen,13
RepGoodlatte,43
RepGosar,16
RepGraceMeng,23
repgregwalden,14
RepGusBilirakis,12
RepGwenMoore,69
RepHalRogers,89
RepHanabusa,62
RepHankJohnson,27
RepHartzler,19
RepHensarling,36
RepHolding,24
RepHorsford,27
RepHuffman,27
rephuizenga,35
rephultgren,25
RepJBridenstine,28
RepJeffDenham,43
RepJeffDuncan,36
RepJerryNadler,93
repjimcooper,95
repjimcosta,60
RepJimMatheson,9
RepJimMcDermott,63
repjimrenacci,17
repjobonner,21
RepJoeBarton,24
repjoecourtney,32
repjoecrowley,73
RepJoeHeck,8
RepJoeKennedy,49
RepJoePitts,12
repjohnbarrow,17
RepJohnCampbell,28
repjohnconyers,69
RepJohnDelaney,12
repjohnkline,46
repjohnlarson,5
RepJohnLewis,35
RepJohnYarmuth,32
RepJonRunyan,3
