Rep,62,,Rep,62,,Sen,352,,,,,
Sen,352,,Rep,201,,Sen,7716,,,,,
Rep,201,,Rep,1389,,Sen,76,,,,,
Rep,1389,,Rep,1177,,Sen,39,,,p-value,0.467911168,"(two-tail, assumed different standard deviations)"
Rep,1177,,Rep,2,,Sen,3852,,,,,
Rep,2,,Rep,58,,Sen,272,,,,,
Rep,58,,Rep,1792,,Sen,352,,,,,
Rep,1792,,Rep,426,,Sen,484,,,,,
Rep,426,,Rep,247,,Sen,49,,,,,
Rep,247,,Rep,13700,,Sen,327,,,,,
Sen,7716,,Rep,223,,Sen,0,,,,,
Rep,13700,,Rep,143,,Sen,140,,,,,
Sen,76,,Rep,546,,Sen,420,,,,,
Rep,223,,Rep,1969,,Sen,183,,,,,
Rep,143,,Rep,1781,,Sen,436,,,,,
Sen,39,,Rep,443,,Sen,139,,,,,
Sen,3852,,Rep,405,,Sen,296,,,,,
Rep,546,,Rep,698,,Sen,329,,,,,
Sen,272,,Rep,95,,Sen,518,,,,,
Rep,1969,,Rep,125,,Sen,8364,,,,,
Rep,1781,,Rep,154,,Sen,169,,,,,
Rep,443,,Rep,116,,Sen,363,,,,,
Rep,405,,Rep,3955,,Sen,103,,,,,
Rep,698,,Rep,1180,,Sen,1875,,,,,
Rep,95,,Rep,11417,,Sen,684,,,,,
Rep,125,,Rep,10741,,Sen,249,,,,,
Rep,154,,Rep,2176,,Sen,234,,,,,
Rep,116,,Rep,1666,,Sen,122,,,,,
Rep,3955,,Rep,14975,,Sen,199,,,,,
Rep,1180,,Rep,7752,,Sen,100,,,,,
Rep,11417,,Rep,1119,,Sen,2144,,,,,
Rep,10741,,Rep,1984,,Sen,14948,,,,,
Sen,352,,Rep,681,,Sen,61,,,,,
Rep,2176,,Rep,803,,Sen,37,,,,,
Sen,484,,Rep,5,,Sen,540,,,,,
Sen,49,,Rep,313,,Sen,1095,,,,,
Rep,1666,,Rep,263,,Sen,11,,,,,
Rep,14975,,Rep,551,,Sen,443,,,,,
Rep,7752,,Rep,73,,Sen,44,,,,,
Rep,1119,,Rep,1762,,Sen,76,,,,,
Rep,1984,,Rep,37,,Sen,641,,,,,
Rep,681,,Rep,68,,Sen,49,,,,,
Sen,327,,Rep,6961,,Sen,138,,,,,
Rep,803,,Rep,887,,Sen,79,,,,,
Rep,5,,Rep,144,,Sen,1720,,,,,
Rep,313,,Rep,860,,Sen,220,,,,,
Rep,263,,Rep,456,,Sen,88,,,,,
Rep,551,,Rep,468,,Sen,55,,,,,
Rep,73,,Rep,257,,Sen,0,,,,,
Rep,1762,,Rep,693,,Sen,132,,,,,
Rep,37,,Rep,196,,Sen,1998,,,,,
Rep,68,,Rep,113,,Sen,284,,,,,
Rep,6961,,Rep,8872,,Sen,160,,,,,
Sen,0,,Rep,805,,Sen,459,,,,,
Sen,140,,Rep,604,,Sen,6,,,,,
Sen,420,,Rep,2863,,Sen,1082,,,,,
Rep,887,,Rep,33,,Sen,1442,,,,,
Sen,183,,Rep,263,,Sen,320,,,,,
Rep,144,,Rep,348,,Sen,1410,,,,,
Rep,860,,Rep,1422,,Sen,82,,,,,
Sen,436,,Rep,1390,,Sen,742,,,,,
Rep,456,,Rep,275,,Sen,73,,,,,
Sen,139,,Rep,2282,,Sen,1648,,,,,
Sen,296,,Rep,296,,Sen,165,,,,,
Rep,468,,Rep,1735,,Sen,226,,,,,
Rep,257,,Rep,522,,Sen,0,,,,,
Sen,329,,Rep,22141,,Sen,134,,,,,
Sen,518,,Rep,1467,,Sen,416,,,,,
Rep,693,,Rep,153,,Sen,624,,,,,
Rep,196,,Rep,816,,Sen,91,,,,,
Rep,113,,Rep,728,,Sen,1114,,,,,
Rep,8872,,Rep,66,,Sen,27825,,,,,
Rep,805,,Rep,298,,Sen,127,,,,,
Rep,604,,Rep,408,,Sen,2340,,,,,
Rep,2863,,Rep,396,,Sen,96,,,,,
Rep,33,,Rep,30,,Sen,5697,,,,,
Sen,8364,,Rep,291,,Sen,446,,,,,
Rep,263,,Rep,69,,Sen,266,,,,,
Rep,348,,Rep,209,,Sen,16494,,,,,
Rep,1422,,Rep,210,,Sen,187,,,,,
Rep,1390,,Rep,542,,Sen,5,,,,,
Rep,275,,Rep,7052,,Sen,276,,,,,
Rep,2282,,Rep,602,,Sen,250,,,,,
Rep,296,,Rep,954,,Sen,1261,,,,,
Rep,1735,,Rep,265,,Sen,11163,,,,,
Sen,169,,Rep,29,,Sen,226,,,,,
Sen,363,,Rep,134,,,,,,,,
Rep,522,,Rep,834,,,,,,,,
Rep,22141,,Rep,1058,,,,,,,,
Rep,1467,,Rep,2560,,,,,,,,
Rep,153,,Rep,1118,,,,,,,,
Rep,816,,Rep,398,,,,,,,,
Rep,728,,Rep,193,,,,,,,,
Rep,66,,Rep,37,,,,,,,,
Rep,298,,Rep,311,,,,,,,,
Sen,103,,Rep,71,,,,,,,,
Rep,408,,Rep,947,,,,,,,,
Rep,396,,Rep,1278,,,,,,,,
Rep,30,,Rep,229,,,,,,,,
Rep,291,,Rep,225,,,,,,,,
Rep,69,,Rep,1549,,,,,,,,
Rep,209,,Rep,187,,,,,,,,
Rep,210,,Rep,4373,,,,,,,,
Sen,1875,,Rep,11,,,,,,,,
Rep,542,,Rep,396,,,,,,,,
Rep,7052,,Rep,405,,,,,,,,
Rep,602,,Rep,875,,,,,,,,
Rep,954,,Rep,5062,,,,,,,,
Rep,265,,Rep,1183,,,,,,,,
Rep,29,,Rep,2109,,,,,,,,
Sen,684,,Rep,1214,,,,,,,,
