age,followers,,,,,
76,3670,,,,,
39,103,,,,,
63,7097,,,,,
41,10298,,,,,
61,2255,,,,,
54,3822,,,,,
71,484,,,,,
50,3267,,,,,
64,2644,,,,,
61,8721,,,,,
76,2274,,,,,
73,320304,,,,,
73,2697,,,,,
57,28009,,,,,
72,4276,,,,,
65,3561,,,,,
50,4604,,,,,
58,18765,,,,,
64,7724,,,,,
59,6651,,,,,
47,9022,,,,,
54,3449,,,,,
53,17603,,,,,
58,8243,,,,,
37,726,,,,,
65,5724,,,,,
43,3180,,,,,
49,3566,,,,,
50,177324,,,,,
54,322,,,,,
50,1593,,,,,
64,634,,,,,
54,333,,,,,
54,7188,,,,,
82,13199,,,,,
63,4328,,,,,
73,98852,,,,,
76,6653,,,,,
75,8905,,,,,
75,1351,,,,,
60,16022,,,,,
71,1081,,,,,
61,3211,,,,,
66,2239,,,,,
43,343185,,,,,
49,3468,,,,,
54,7337,,,,,
67,2495,,,,,
39,14189,,,,,
62,7337,,,,,
51,10503,,,,,
67,5645,,,,,
42,10014,,,,,
41,2772,,,,,
54,4094,,,,,
57,3863,,,,,
39,4066,,,,,
52,4631,,,,,
36,6132,,,,,
43,6504,,,,,
53,5718,,,,,
39,2952,,,,,
41,11845,,,,,
55,800,,,,,
50,340,,,,,
40,511,,,,,
55,833,,,,,
53,11780,,,,,
71,149654,,,,,
62,52147,,,,,
65,4410,,,,,
69,384,,,,,
69,7001,,,,,
58,9741,,,,,
78,8469,,,,,
58,3918,,,,,
55,9283,,,,,
83,6089,,,,,
47,5448,,,,,
65,9884,,,,,
62,10590,,,,,
66,17196,,,,,
68,10339,,,,,
62,1795,,,,,
52,4834,,,,,
52,7287,,,,,
44,3009,,,,,
66,3418,,,,,
62,4955,,,,,
60,640,,,,,
42,1494,,,,,
62,8337,,,,,
31,15441,,,,,
61,5965,,,,,
66,9854,,,,,
51,6919,,,,,
47,23738,,,,,
48,3593,,,,,
47,4495,,,,,
48,4468,,,,,
36,2592,,,,,
43,3958,,,,,
51,521,,,,,
36,1919,,,,,
52,523,,,,,
32,1260,,,,,
65,2127,,,,,
54,1086,,,,,
52,14098,,,,,
61,2764,,,,,
51,5761,,,,,
51,19941,,,,,
50,327,,,,,
53,3258,,,,,
66,4288,,,,,
53,6271,,,,,
62,2467,,,,,
63,4947,,,,,
56,3436,,,,,
52,964,,,,,
59,7047,,,,,
62,20257,,,,,
64,8888,,,,,
60,2482,,,,,
63,2476,,,,,
54,11979,,,,,
35,343,,,,,
42,518,,,,,
50,276,,,,,
74,16922,,,,,
67,1629,,,,,
73,1470,,,,,
69,1787,,,,,
61,5674,,,,,
74,2883,,,,,
63,15364,,,,,
56,7447,,,,,
65,1958,,,,,
63,3903,,,,,
61,5037,,,,,
57,9581,,,,,
54,10510,,,,,
58,38491,,,,,
63,2725,,,,,
70,3978,,,,,
56,4693,,,,,
50,1405,,,,,
49,625,,,,,
59,377,,,,,
54,337,,,,,
63,162,,,,,
63,15942,,,,,
79,5469,,,,,
65,4410,,,,,
37,4419,,,,,
40,4085,,,,,
57,519,,,,,
