"61","276"
"74","306"
"63","250"
"56","150"
"65","245"
"63","437"
"61","320"
"57","1261"
"54","6222"
"58","11163"
"63","322"
"70","991"
"56","628"
"50","541"
"49","173"
"59","75"
"54","219"
"63","83"
"63","226"
"79","321"
"65","207"
"37","556"
"40","333"
"57","7"
