Rep,14.0233,,Rep,14.0233,,Sen,12.3721,,,,
Sen,12.3721,,Rep,7,,Sen,52.82,,,,
Rep,7,,Rep,144.2593,,Sen,17.1754,,,,
Rep,144.2593,,Rep,24.4706,,Sen,17.1277,,,,
Rep,24.4706,,Rep,8.8095,,Sen,19.42,,,,
Rep,8.8095,,Rep,13.52,,Sen,12.7917,,p-value,0.024540478,"(two-tail, assumed different standard deviations)"
Rep,13.52,,Rep,25.4722,,Sen,31.5333,,,,
Rep,25.4722,,Rep,18.3846,,Sen,57.6429,,,,
Rep,18.3846,,Rep,7.7143,,Sen,22.7857,,,,
Rep,7.7143,,Rep,151.1739,,Sen,52.0833,,,,
Sen,52.82,,Rep,40.36,,Sen,6.3421,,,,
Rep,151.1739,,Rep,23.5652,,Sen,46.6316,,,,
Sen,17.1754,,Rep,11.0571,,Sen,68.1923,,,,
Rep,40.36,,Rep,13.7059,,Sen,38.25,,,,
Rep,23.5652,,Rep,41.5,,Sen,39,,,,
Sen,17.1277,,Rep,16.6774,,Sen,15.3654,,,,
Sen,19.42,,Rep,6.2414,,Sen,20.8182,,,,
Rep,11.0571,,Rep,44.875,,Sen,152.8,,,,
Sen,12.7917,,Rep,0,,Sen,12.8235,,,,
Rep,13.7059,,Rep,15.625,,Sen,144.2097,,,,
Rep,41.5,,Rep,8.898,,Sen,14.125,,,,
Rep,16.6774,,Rep,5.1154,,Sen,21.0233,,,,
Rep,6.2414,,Rep,38.3846,,Sen,76.9375,,,,
Rep,44.875,,Rep,42.7347,,Sen,102.6667,,,,
Rep,0,,Rep,78.7917,,Sen,65.3846,,,,
Rep,15.625,,Rep,27.6,,Sen,23.4828,,,,
Rep,8.898,,Rep,16.2941,,Sen,15.4348,,,,
Rep,5.1154,,Rep,32.8889,,Sen,45.1429,,,,
Rep,38.3846,,Rep,39,,Sen,8.1964,,,,
Rep,42.7347,,Rep,5.2308,,Sen,46.6667,,,,
Rep,78.7917,,Rep,33.3684,,Sen,37.8983,,,,
Rep,27.6,,Rep,9.0741,,Sen,39.5385,,,,
Sen,31.5333,,Rep,63.3333,,Sen,43.6316,,,,
Rep,16.2941,,Rep,19.9091,,Sen,33.08,,,,
Sen,57.6429,,Rep,30.3333,,Sen,49.8,,,,
Sen,22.7857,,Rep,15.25,,Sen,66.3659,,,,
Rep,32.8889,,Rep,48,,Sen,63,,,,
Rep,39,,Rep,96.5,,Sen,44.814,,,,
Rep,5.2308,,Rep,24.6667,,Sen,7.3889,,,,
Rep,33.3684,,Rep,66,,Sen,80.6667,,,,
Rep,9.0741,,Rep,39.25,,Sen,70.1,,,,
Rep,63.3333,,Rep,23.3,,Sen,38.6538,,,,
Sen,52.0833,,Rep,28.6327,,Sen,18.3333,,,,
Rep,19.9091,,Rep,15.8148,,Sen,24.4444,,,,
Rep,30.3333,,Rep,29.6,,Sen,69.8966,,,,
Rep,15.25,,Rep,15.6129,,Sen,64.6667,,,,
Rep,48,,Rep,22.9545,,Sen,46.9167,,,,
Rep,96.5,,Rep,12.3714,,Sen,62.7308,,,,
Rep,24.6667,,Rep,8.16,,Sen,8.325,,,,
Rep,66,,Rep,40.4783,,Sen,50.7647,,,,
Rep,39.25,,Rep,14.2105,,Sen,46.4634,,,,
Rep,23.3,,Rep,8.62,,Sen,94.3725,,,,
Rep,28.6327,,Rep,96.2941,,Sen,100.8095,,,,
Sen,6.3421,,Rep,21.5161,,Sen,40.7843,,,,
Sen,46.6316,,Rep,10.7143,,Sen,53.1944,,,,
Sen,68.1923,,Rep,48,,Sen,28.0196,,,,
Rep,15.8148,,Rep,1.0204,,Sen,80.9565,,,,
Sen,38.25,,Rep,11.2308,,Sen,33.2885,,,,
Rep,29.6,,Rep,20.6364,,Sen,34.2,,,,
Rep,15.6129,,Rep,18.0435,,Sen,21.1042,,,,
Sen,39,,Rep,26.8966,,Sen,33.8889,,,,
Rep,22.9545,,Rep,11.7692,,Sen,7.8,,,,
Sen,15.3654,,Rep,69,,Sen,49.6863,,,,
Sen,20.8182,,Rep,25.3333,,Sen,50.6875,,,,
Rep,12.3714,,Rep,58.0476,,Sen,29.2759,,,,
Rep,8.16,,Rep,33.8,,Sen,61.4286,,,,
Sen,152.8,,Rep,68.3962,,Sen,32.8333,,,,
Sen,12.8235,,Rep,25.3333,,Sen,12.3721,,,,
Rep,40.4783,,Rep,44.9762,,Sen,94.875,,,,
Rep,14.2105,,Rep,25.4194,,Sen,35.6667,,,,
Rep,8.62,,Rep,37.2222,,Sen,131.0208,,,,
Rep,96.2941,,Rep,2.0667,,Sen,35.3585,,,,
Rep,21.5161,,Rep,15.7037,,Sen,2.08,,,,
Rep,10.7143,,Rep,60.8571,,Sen,16.4186,,,,
Rep,48,,Rep,14.4074,,Sen,29.3478,,,,
Rep,1.0204,,Rep,76.3333,,Sen,50.2105,,,,
Sen,144.2097,,Rep,74,,Sen,47.3103,,,,
Rep,11.2308,,Rep,4.3333,,Sen,30.6957,,,,
Rep,20.6364,,Rep,35.75,,Sen,48.7857,,,,
Rep,18.0435,,Rep,41,,Sen,35.6522,,,,
Rep,26.8966,,Rep,7.0385,,Sen,24.7778,,,,
Rep,11.7692,,Rep,15,,Sen,28.32,,,,
Rep,69,,Rep,41.4571,,Sen,22.4615,,,,
Rep,25.3333,,Rep,43.0526,,Sen,34.1538,,,,
Rep,58.0476,,Rep,25.4412,,Sen,32.9143,,,,
Sen,14.125,,Rep,7.2128,,Sen,16.75,,,,
Sen,21.0233,,Rep,21,,,,,,,
