Rep,4947,,Rep,4947,,Sen,11565,,,,
Sen,11565,,Rep,2649,,Sen,23410,,,,
Rep,2649,,Rep,24929,,Sen,25174,,,,
Rep,24929,,Rep,2143,,Sen,27829,,,,
Rep,2143,,Rep,5786,,Sen,18185,,,,
Rep,5786,,Rep,10844,,Sen,12721,,,,
Rep,10844,,Rep,10357,,Sen,8079,,,,
Rep,10357,,Rep,3684,,Sen,10862,,,,
Rep,3684,,Rep,2130,,Sen,10313,,,,
Rep,2130,,Rep,468004,,Sen,8972,,p-value,0.143284053,"(two-tail, assumed different standard deviations)"
Sen,23410,,Rep,7951,,Sen,4922,,,,
Rep,468004,,Rep,2918,,Sen,14860,,,,
Sen,25174,,Rep,4501,,Sen,6337,,,,
Rep,7951,,Rep,3583,,Sen,5096,,,,
Rep,2918,,Rep,8275,,Sen,8809,,,,
Sen,27829,,Rep,3789,,Sen,62467,,,,
Sen,18185,,Rep,6641,,Sen,3352,,,,
Rep,4501,,Rep,10778,,Sen,2904,,,,
Sen,12721,,Rep,582,,Sen,22362,,,,
Rep,3583,,Rep,1104,,Sen,40188,,,,
Rep,8275,,Rep,4953,,Sen,10227,,,,
Rep,3789,,Rep,2378,,Sen,15006,,,,
Rep,6641,,Rep,175742,,Sen,1437,,,,
Rep,10778,,Rep,7788,,Sen,42669,,,,
Rep,582,,Rep,14784,,Sen,25276,,,,
Rep,1104,,Rep,12600,,Sen,5864,,,,
Rep,4953,,Rep,9965,,Sen,1975,,,,
Rep,2378,,Rep,4055,,Sen,16245,,,,
Rep,175742,,Rep,16430,,Sen,17109,,,,
Rep,7788,,Rep,7990,,Sen,1827,,,,
Rep,14784,,Rep,5651,,Sen,36472,,,,
Rep,12600,,Rep,4611,,Sen,67125,,,,
Sen,8079,,Rep,3757,,Sen,10824,,,,
Rep,9965,,Rep,1540,,Sen,5005,,,,
Sen,10862,,Rep,993,,Sen,5385,,,,
Sen,10313,,Rep,778,,Sen,6785,,,,
Rep,4055,,Rep,902,,Sen,852,,,,
Rep,16430,,Rep,1437,,Sen,14044,,,,
Rep,7990,,Rep,706,,Sen,2141,,,,
Rep,5651,,Rep,1471,,Sen,1407,,,,
Rep,4611,,Rep,880,,Sen,7189,,,,
Rep,3757,,Rep,2575,,Sen,5723,,,,
Sen,8972,,Rep,12167,,Sen,5669,,,,
Rep,1540,,Rep,3170,,Sen,13689,,,,
Rep,993,,Rep,2795,,Sen,17001,,,,
Rep,778,,Rep,16736,,Sen,1742,,,,
Rep,902,,Rep,2177,,Sen,10793,,,,
Rep,1437,,Rep,7127,,Sen,11084,,,,
Rep,706,,Rep,3882,,Sen,9647,,,,
Rep,1471,,Rep,3808,,Sen,7399,,,,
Rep,880,,Rep,3694,,Sen,25131,,,,
Rep,2575,,Rep,5517,,Sen,1798403,,,,
Rep,12167,,Rep,142391,,Sen,13891,,,,
Sen,4922,,Rep,5530,,Sen,24688,,,,
Sen,14860,,Rep,4469,,Sen,17446,,,,
Sen,6337,,Rep,8317,,Sen,9765,,,,
Rep,3170,,Rep,3362,,Sen,12497,,,,
Sen,5096,,Rep,740,,Sen,15964,,,,
Rep,2795,,Rep,6667,,Sen,3972,,,,
Rep,16736,,Rep,2252,,Sen,18173,,,,
Sen,8809,,Rep,4210,,Sen,10873,,,,
Rep,2177,,Rep,3300,,Sen,29000,,,,
Sen,62467,,Rep,4482,,Sen,28009,,,,
Sen,3352,,Rep,6615,,Sen,4604,,,,
Rep,7127,,Rep,5794,,Sen,177324,,,,
Rep,3882,,Rep,5571,,Sen,4328,,,,
Sen,2904,,Rep,36428,,Sen,98852,,,,
Sen,22362,,Rep,9456,,Sen,6653,,,,
Rep,3808,,Rep,4266,,Sen,8905,,,,
Rep,3694,,Rep,5157,,Sen,11845,,,,
Rep,5517,,Rep,4075,,Sen,149654,,,,
Rep,142391,,Rep,313,,Sen,52147,,,,
Rep,5530,,Rep,3897,,Sen,8469,,,,
Rep,4469,,Rep,643,,Sen,10590,,,,
Rep,8317,,Rep,7211,,Sen,17196,,,,
Rep,3362,,Rep,519,,Sen,9854,,,,
Sen,40188,,Rep,449,,Sen,23738,,,,
Rep,740,,Rep,244,,Sen,14098,,,,
Rep,6667,,Rep,940,,Sen,19941,,,,
Rep,2252,,Rep,623,,Sen,20257,,,,
Rep,4210,,Rep,4788,,Sen,8888,,,,
Rep,3300,,Rep,7224,,Sen,5674,,,,
