M,62,,F,76,M,62,,,,,
M,352,,F,143,M,352,,,,,
M,201,,F,1781,M,201,,,,,
M,1389,,F,405,M,1389,,,,,
M,1177,,F,3955,M,1177,,,p-value,0.989266196,"(two-tail, assumed different standard deviations)"
M,2,,F,14975,M,2,,,,,
M,58,,F,1119,M,58,,,,,
M,1792,,F,803,M,1792,,,,,
M,426,,F,73,M,426,,,,,
M,247,,F,1762,M,247,,,,,
M,7716,,F,0,M,7716,,,,,
M,13700,,F,144,M,13700,,,,,
F,76,,F,518,M,223,,,,,
M,223,,F,693,M,39,,,,,
F,143,,F,805,M,3852,,,,,
M,39,,F,2282,M,546,,,,,
M,3852,,F,816,M,272,,,,,
M,546,,F,7052,M,1969,,,,,
M,272,,F,602,M,443,,,,,
M,1969,,F,193,M,698,,,,,
F,1781,,F,1278,M,95,,,,,
M,443,,F,225,M,125,,,,,
F,405,,F,187,M,154,,,,,
M,698,,F,4373,M,116,,,,,
M,95,,F,396,M,1180,,,,,
M,125,,F,122,M,11417,,,,,
M,154,,F,1214,M,10741,,,,,
M,116,,F,1122,M,352,,,,,
F,3955,,F,167,M,2176,,,,,
M,1180,,F,100,M,484,,,,,
M,11417,,F,886,M,49,,,,,
M,10741,,F,35,M,1666,,,,,
M,352,,F,1095,M,7752,,,,,
M,2176,,F,443,M,1984,,,,,
M,484,,F,588,M,681,,,,,
M,49,,F,390,M,327,,,,,
M,1666,,F,925,M,5,,,,,
F,14975,,F,699,M,313,,,,,
M,7752,,F,76,M,263,,,,,
F,1119,,F,282,M,551,,,,,
M,1984,,F,799,M,37,,,,,
M,681,,F,4457,M,68,,,,,
M,327,,F,159,M,6961,,,,,
F,803,,F,541,M,140,,,,,
M,5,,F,802,M,420,,,,,
M,313,,F,37,M,887,,,,,
M,263,,F,347,M,183,,,,,
M,551,,F,132,M,860,,,,,
F,73,,F,529,M,436,,,,,
F,1762,,F,6214,M,456,,,,,
M,37,,F,227,M,139,,,,,
M,68,,F,3308,M,296,,,,,
M,6961,,F,57,M,468,,,,,
F,0,,F,6,M,257,,,,,
M,140,,F,1442,M,329,,,,,
M,420,,F,651,M,196,,,,,
M,887,,F,405,M,113,,,,,
M,183,,F,320,M,8872,,,,,
F,144,,F,5131,M,604,,,,,
M,860,,F,339,M,2863,,,,,
M,436,,F,1387,M,33,,,,,
M,456,,F,1410,M,8364,,,,,
M,139,,F,315,M,263,,,,,
M,296,,F,41,M,348,,,,,
M,468,,F,178,M,1422,,,,,
M,257,,F,214,M,1390,,,,,
M,329,,F,149,M,275,,,,,
F,518,,F,253,M,296,,,,,
F,693,,F,254,M,1735,,,,,
M,196,,F,952,M,169,,,,,
M,113,,F,206,M,363,,,,,
