M,14.0233,,F,17.1754,,M,14.0233,,,,
M,12.3721,,F,23.5652,,M,12.3721,,,,
M,7,,F,41.5,,M,7,,,,
M,144.2593,,F,6.2414,,M,144.2593,,,,
M,24.4706,,F,38.3846,,M,24.4706,,,,
M,8.8095,,F,39,,M,8.8095,,,,
M,13.52,,F,33.3684,,M,13.52,,p-value,0.501574815,"(two-tail, assumed different standard deviations)"
M,25.4722,,F,19.9091,,M,25.4722,,,,
M,18.3846,,F,24.6667,,M,18.3846,,,,
M,7.7143,,F,66,,M,7.7143,,,,
M,52.82,,F,6.3421,,M,52.82,,,,
M,151.1739,,F,29.6,,M,151.1739,,,,
F,17.1754,,F,12.8235,,M,40.36,,,,
M,40.36,,F,40.4783,,M,17.1277,,,,
F,23.5652,,F,21.5161,,M,19.42,,,,
M,17.1277,,F,69,,M,11.0571,,,,
M,19.42,,F,25.4194,,M,12.7917,,,,
M,11.0571,,F,15,,M,13.7059,,,,
M,12.7917,,F,41.4571,,M,16.6774,,,,
M,13.7059,,F,31.25,,M,44.875,,,,
F,41.5,,F,61.6667,,M,0,,,,
M,16.6774,,F,17.9231,,M,15.625,,,,
F,6.2414,,F,43.0952,,M,8.898,,,,
M,44.875,,F,82.2414,,M,5.1154,,,,
M,0,,F,43,,M,42.7347,,,,
M,15.625,,F,45.1429,,M,78.7917,,,,
M,8.898,,F,31.7455,,M,27.6,,,,
M,5.1154,,F,35.2353,,M,31.5333,,,,
F,38.3846,,F,44.6667,,M,16.2941,,,,
M,42.7347,,F,46.6667,,M,57.6429,,,,
M,78.7917,,F,26.2424,,M,22.7857,,,,
M,27.6,,F,29.3333,,M,32.8889,,,,
M,31.5333,,F,66.3659,,M,5.2308,,,,
M,16.2941,,F,44.814,,M,9.0741,,,,
M,57.6429,,F,21.5185,,M,63.3333,,,,
M,22.7857,,F,54.963,,M,52.0833,,,,
M,32.8889,,F,3.0385,,M,30.3333,,,,
F,39,,F,26.15,,M,15.25,,,,
M,5.2308,,F,80.6667,,M,48,,,,
F,33.3684,,F,17.0476,,M,96.5,,,,
M,9.0741,,F,100.4545,,M,39.25,,,,
M,63.3333,,F,53.2745,,M,23.3,,,,
M,52.0833,,F,12.3636,,M,28.6327,,,,
F,19.9091,,F,78,,M,46.6316,,,,
M,30.3333,,F,73.3333,,M,68.1923,,,,
M,15.25,,F,17,,M,15.8148,,,,
M,48,,F,18.1071,,M,38.25,,,,
M,96.5,,F,50.7647,,M,15.6129,,,,
F,24.6667,,F,40.3846,,M,39,,,,
F,66,,F,18.6531,,M,22.9545,,,,
M,39.25,,F,24.3333,,M,15.3654,,,,
M,23.3,,F,17.08,,M,20.8182,,,,
M,28.6327,,F,5.4706,,M,12.3714,,,,
F,6.3421,,F,53.1944,,M,8.16,,,,
M,46.6316,,F,80.9565,,M,152.8,,,,
M,68.1923,,F,127.5385,,M,14.2105,,,,
M,15.8148,,F,6.2414,,M,8.62,,,,
M,38.25,,F,33.2885,,M,96.2941,,,,
F,29.6,,F,55.5577,,M,10.7143,,,,
M,15.6129,,F,36.102,,M,48,,,,
M,39,,F,13,,M,1.0204,,,,
M,22.9545,,F,34.2,,M,144.2097,,,,
M,15.3654,,F,79.6667,,M,11.2308,,,,
M,20.8182,,F,12.4082,,M,20.6364,,,,
M,12.3714,,F,19.2424,,M,18.0435,,,,
M,8.16,,F,39.8889,,M,26.8966,,,,
M,152.8,,F,36,,M,11.7692,,,,
F,12.8235,,F,23,,M,25.3333,,,,
F,40.4783,,F,14.678,,M,58.0476,,,,
M,14.2105,,F,124.2787,,M,14.125,,,,
M,8.62,,F,15.9286,,M,21.0233,,,,
M,96.2941,,F,70.8571,,M,33.8,,,,
F,21.5161,,F,33.8205,,M,68.3962,,,,
M,10.7143,,F,14.9545,,M,25.3333,,,,
M,48,,F,16.4186,,M,44.9762,,,,
M,1.0204,,F,20.4082,,M,37.2222,,,,
M,144.2097,,F,34.1364,,M,2.0667,,,,
M,11.2308,,F,2.5135,,M,15.7037,,,,
M,20.6364,,F,19.9388,,M,76.9375,,,,
M,18.0435,,F,50.2105,,M,60.8571,,,,
M,26.8966,,F,31.5,,M,14.4074,,,,
M,11.7692,,F,163,,M,76.3333,,,,
F,69,,F,50.5385,,M,74,,,,
M,25.3333,,F,6.6757,,M,4.3333,,,,
M,58.0476,,F,2.4242,,M,35.75,,,,
M,14.125,,F,16.5833,,M,41,,,,
M,21.0233,,F,35.1111,,M,102.6667,,,,
M,33.8,,F,59,,M,7.0385,,,,
M,68.3962,,F,67,,M,43.0526,,,,
M,25.3333,,F,16.75,,M,25.4412,,,,
M,44.9762,,,,,M,7.2128,,,,
F,25.4194,,,,,M,65.3846,,,,
M,37.2222,,,,,M,21,,,,
M,2.0667,,,,,M,23.4828,,,,
M,15.7037,,,,,M,21.5714,,,,
M,76.9375,,,,,M,40.3077,,,,
M,60.8571,,,,,M,34.2963,,,,
