gender,followers per capita,,gender,followers per capita,,gender,followers per capita,,,,,
M,0.0001,,,,,M,0.0009,,,,,
F,0.0001,,,,,M,0.0077,,,,,
M,0.0001,,,,,M,0.0218,,,,,
F,0.0001,,,,,M,0.0001,,,,,
M,0.0034,,,,,M,0.0017,,,,,
M,0.0077,,,,,M,0.0001,,,,,
F,0.0017,,,,,M,0.0004,,,,,
F,0.0008,,,,,M,0.0011,,,,,
M,0,,,,,M,0.0013,,,,,
F,0.0003,,,,,M,0.0003,,,,,
M,0.0001,,,,,M,0.0001,,,,,
M,0.0005,,,,,M,0.0002,,,,,
F,0.0004,,,,,M,0.0006,,,,,
M,0.0026,,,,,M,0.0005,,,,,
M,0.0012,,,,,M,0.0004,,,,,
M,0.0014,,,,,M,0.0001,,,,,
M,0.0039,,,,,M,0.001,,,,,
F,0.001,,,,,M,0.0024,,,,,
M,0.0003,,,,,M,0.0024,,,,,
M,0,,,,,M,0.0005,,,,,
F,0.0006,,,,,M,0.0002,,,,,
M,0.0014,,,,,M,0,,,,,
M,0.0005,,,,,M,0.0035,,,,,
M,0.0005,,,,,M,0.0003,,,,,
M,0.0002,,,,,M,0.0018,,,,,
M,0.0002,,,,,M,0.0001,,,,,
F,0,,,,,M,0.005,,,,,
F,0.001,,,,,M,0.0003,,,,,
M,0.0009,,,,,M,0.0003,,,,,
M,0.0077,,,,,M,0.0004,,,,,
F,0.0002,,,,,M,0.002,,,,,
M,0.0218,,,,,M,0.0029,,,,,
M,0.0001,,,,,M,0.0004,,,,,
M,0.0017,,,,,M,0.0025,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0.0004,,,,,M,0.0002,,,,,
M,0.0011,,,,,M,0.0015,,,,,
M,0.0013,,,,,M,0.0019,,,,,
M,0.0003,,,,,M,0.0005,,,,,
M,0.0001,,,,,M,0.0003,,,,,
M,0.0002,,,,,M,0.0005,,,,,
M,0.0006,,,,,M,0.0031,,,,,
M,0.0005,,,,,M,0.0001,,,,,
M,0.0004,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0.0005,,,,,
M,0.001,,,,,M,0.0001,,,,,
M,0.0024,,,,,M,0,,,,,
M,0.0024,,,,,M,0.0019,,,,,
M,0.0005,,,,,M,0.0021,,,,,
M,0.0002,,,,,M,0.0005,,,,,
F,0.0005,,,,,M,0.0001,,,,,
M,0,,,,,M,0.0069,,,,,
M,0.0035,,,,,M,0.0008,,,,,
M,0.0003,,,,,M,0.0007,,,,,
M,0.0018,,,,,M,0.0011,,,,,
M,0.0001,,,,,M,0.0031,,,,,
