R,234,,D,459,,R,75,,,,,,,
D,1549,,D,6,,R,337,,,,,,,
D,187,,D,211,,R,1720,,,,,,,
R,4373,,D,176,,R,48,,,,,,,
D,11,,D,1442,,R,186,,,,,,,
D,396,,D,138,,R,105,,,,,,,
D,405,,D,93,,R,816,,,,,,,
D,875,,D,651,,R,1073,,,,,,,
D,122,,D,7,,R,127,,,,,,,
R,199,,D,339,,R,115,,,,,,,
R,5062,,D,1387,,R,4536,,,,,,,
R,1183,,D,174,,R,6214,,,,,,,
R,2109,,D,1410,,R,496,,,,,,,
R,1214,,D,6,,R,404,,,,,,,
R,25,,D,82,,R,1998,,,,,,,
D,1012,,D,742,,R,675,,,,,,,
D,1122,,D,272,,R,284,,,,,,,
R,165,,D,315,,R,160,,,,,,,
R,499,,D,45,,R,5234,,,,,,,
R,620,,D,775,,R,1082,,,,,,,
R,708,,D,12,,R,48,,,,,,,
R,1230,,D,73,,R,405,,,,,,,
D,167,,D,5,,R,448,,,,,,,
R,100,,D,41,,R,320,,,,,,,
R,144,,D,178,,R,3513,,,,,,,
R,2144,,D,149,,R,81,,,,,,,
R,886,,D,666,,R,2239,,,,,,,
R,14948,,D,493,,R,5131,,,,,,,
D,49,,D,0,,R,11028,,,,,,,
D,152,,D,253,,R,0,,,,,,,
R,107,,D,2323,,R,371,,,,,,,
R,184,,D,165,,R,185,,,,,,,
R,1028,,D,68,,R,505,,,,,,,
D,223,,D,313,,R,4113,,,,,,,
R,268,,D,5050,,R,1495,,,,,,,
D,21,,D,254,,R,129,,,,,,,
D,6006,,D,222,,R,1042,,,,,,,
R,3007,,D,179,,R,0,,,,,,,
R,402,,D,185,,R,2439,,,,,,,
R,3237,,D,1462,,R,214,,,,,,,
R,161,,D,2679,,R,172,,,,,,,
R,2416,,D,0,,R,378,,,,,,,
R,349,,D,134,,R,1304,,,,,,,
R,3531,,D,624,,R,48,,,,,,,
R,370,,D,206,,R,1648,,,,,,,
R,68,,D,118,,R,506,,,,,,,
D,35,,D,937,,R,3126,,,,,,,
D,226,,D,983,,R,473,,,,,,,
D,61,,D,1319,,R,2200,,,,,,,
R,378,,D,1,,R,930,,,,,,,
R,37,,D,11999,,R,1291,,,,,,,
D,367,,D,27825,,R,1130,,,,,,,
D,1568,,D,847,,R,226,,,,,,,
D,190,,D,366,,R,356,,,,,,,
R,216,,D,14,,R,791,,,,,,,
D,1147,,D,154,,R,416,,,,,,,
R,540,,D,673,,R,320,,,,,,,
D,1095,,D,2340,,R,952,,,,,,,
R,371,,D,393,,R,387,,,,,,,
D,11,,D,765,,R,1,,,,,,,
D,615,,D,758,,R,153,,,,,,,
D,443,,D,217,,R,2878,,,,,,,
D,588,,D,156,,R,3088,,,,,,,
R,332,,D,418,,R,4185,,,,,,,
R,188,,D,750,,R,181,,,,,,,
R,390,,D,591,,R,4322,,,,,,,
R,73,,D,5697,,R,128,,,,,,,
R,925,,D,317,,R,477,,,,,,,
R,1384,,D,209,,R,511,,,,,,,
R,2660,,D,484,,R,1625,,,,,,,
R,1682,,D,604,,R,849,,,,,,,
R,456,,D,125,,R,2999,,,,,,,
R,44,,D,170,,R,1409,,,,,,,
D,699,,D,669,,R,34,,,,,,,
D,0,,D,106,,R,91,,,,,,,
R,118,,D,1199,,R,215,,,,,,,
D,443,,D,772,,R,293,,,,,,,
R,670,,D,187,,R,306,,,,,,,
D,14,,D,5,,R,165,,,,,,,
D,76,,D,108,,R,591,,,,,,,
R,641,,D,798,,R,127,,,,,,,
R,24086,,D,2179,,R,808,,,,,,,
D,241,,D,345,,R,3578,,,,,,,
D,282,,D,20,,R,96,,,,,,,
D,799,,D,859,,R,34,,,,,,,
R,118,,D,0,,R,704,,,,,,,
D,49,,D,129,,R,139,,,,,,,
R,114,,D,250,,R,681,,,,,,,
D,312,,D,1261,,R,1363,,,,,,,
R,5254,,D,11163,,R,446,,,,,,,
R,4457,,D,991,,R,508,,,,,,,
R,138,,D,226,,R,809,,,,,,,
R,540,,D,207,,R,212,,,,,,,
R,79,,,,,R,202,,,,,,,
R,1291,,,,,R,245,,,,,,,
D,159,,,,,R,177,,,,,,,
D,508,,,,,R,266,,,,,,,
R,75,,,,,R,458,,,,,,,
R,337,,,,,R,16494,,,,,,,
R,1720,,,,,R,213,,,,,,,
R,48,,,,,R,548,,,,,,,
R,186,,,,,R,276,,,,,,,
D,541,,,,,R,1112,,,,,,,
D,590,,,,,R,2388,,,,,,,
R,105,,,,,R,62,,,,,,,
R,816,,,,,R,126,,,,,,,
D,69,,,,,R,276,,,,,,,
D,2330,,,,,R,306,,,,,,,
D,23,,,,,R,150,,,,,,,
D,802,,,,,R,245,,,,,,,
I,220,,,,,R,437,,,,,,,
R,1073,,,,,R,320,,,,,,,
D,88,,,,,R,6222,,,,,,,
D,55,,,,,R,322,,,,,,,
D,0,,,,,R,628,,,,,,,
D,4055,,,,,R,541,,,,,,,
D,162,,,,,R,173,,,,,,,
D,37,,,,,R,75,,,,,,,
D,347,,,,,R,219,,,,,,,
D,132,,,,,R,83,,,,,,,
D,529,,,,,R,321,,,,,,,
R,127,,,,,R,556,,,,,,,
D,307,,,,,R,333,,,,,,,
D,1517,,,,,R,7,,,,,,,
D,1035,,,,,,,,,,,,,
D,122,,,,,,,,,,,,,
R,115,,,,,,,,,,,,,
D,481,,,,,,,,,,,,,
R,4536,,,,,,,,,,,,,
D,133,,,,,,,,,,,,,
R,6214,,,,,,,,,,,,,
R,496,,,,,,,,,,,,,
R,404,,,,,,,,,,,,,
R,1998,,,,,,,,,,,,,
R,675,,,,,,,,,,,,,
D,1212,,,,,,,,,,,,,
D,227,,,,,,,,,,,,,
D,3308,,,,,,,,,,,,,
D,67,,,,,,,,,,,,,
R,284,,,,,,,,,,,,,
D,57,,,,,,,,,,,,,
D,487,,,,,,,,,,,,,
R,160,,,,,,,,,,,,,
D,613,,,,,,,,,,,,,
D,129,,,,,,,,,,,,,
R,5234,,,,,,,,,,,,,
D,459,,,,,,,,,,,,,
D,6,,,,,,,,,,,,,
D,211,,,,,,,,,,,,,
D,176,,,,,,,,,,,,,
R,1082,,,,,,,,,,,,,
D,1442,,,,,,,,,,,,,
D,138,,,,,,,,,,,,,
R,48,,,,,,,,,,,,,
D,93,,,,,,,,,,,,,
D,651,,,,,,,,,,,,,
D,7,,,,,,,,,,,,,
R,405,,,,,,,,,,,,,
R,448,,,,,,,,,,,,,
R,320,,,,,,,,,,,,,
R,3513,,,,,,,,,,,,,
R,81,,,,,,,,,,,,,
R,2239,,,,,,,,,,,,,
R,5131,,,,,,,,,,,,,
D,339,,,,,,,,,,,,,
D,1387,,,,,,,,,,,,,
R,11028,,,,,,,,,,,,,
D,174,,,,,,,,,,,,,
D,1410,,,,,,,,,,,,,
D,6,,,,,,,,,,,,,
D,82,,,,,,,,,,,,,
R,0,,,,,,,,,,,,,
R,371,,,,,,,,,,,,,
R,185,,,,,,,,,,,,,
R,505,,,,,,,,,,,,,
