gender,followers,,gender,followers,,gender,followers,,,
M,628,,,,,M,6913,,,
M,10824,,,,,M,13142,,,
M,1789,,,,,M,5669,,,
M,5005,,,,,M,3966,,,
M,3030,,,,,M,13689,,,
M,29430,,,,,M,965,,,
M,9580,,,,,M,4165,,,
M,8113,,,,,M,12496,,,
M,8704,,,,,M,7676,,,
M,5385,,,,,M,17001,,,
F,6785,,,,,M,14487,,,
M,8545,,,,,M,4689,,,
M,852,,,,,M,2796,,,
M,9149,,,,,M,658,,,
F,14044,,,,,M,6059,,,
F,3268,,,,,M,3246,,,
M,3866,,,,,M,2297,,,
M,921,,,,,M,556,,,
F,4019,,,,,M,1742,,,
M,4159,,,,,M,8149,,,
F,3258,,,,,M,10793,,,
M,5410,,,,,M,11084,,,
M,4927,,,,,M,9647,,,
M,4175,,,,,M,6962,,,
M,3822,,,,,M,20497,,,
M,2141,,,,,M,3172,,,
F,2571,,,,,M,5735,,,
M,470,,,,,M,6093,,,
M,622,,,,,M,1735,,,
M,1386,,,,,M,1754,,,
M,1182,,,,,M,1048,,,
M,458,,,,,M,688,,,
F,1407,,,,,M,11536,,,
M,7189,,,,,M,5463,,,
M,80078,,,,,M,4868,,,
M,10098,,,,,M,6985,,,
F,6766,,,,,M,25131,,,
F,5705,,,,,M,367,,,
M,1734,,,,,M,777,,,
M,5723,,,,,M,14193,,,
M,7919,,,,,M,1798403,,,
M,6913,,,,,M,7177,,,
M,13142,,,,,M,13891,,,
F,9397,,,,,M,6984,,,
M,5669,,,,,M,3310,,,
M,3966,,,,,M,10106,,,
M,13689,,,,,M,24688,,,
M,965,,,,,M,8821,,,
F,1040,,,,,M,7807,,,
M,4165,,,,,M,9765,,,
M,12496,,,,,M,5260,,,
M,7676,,,,,M,2372,,,
M,17001,,,,,M,6449,,,
M,14487,,,,,M,6122,,,
M,4689,,,,,M,3863,,,
F,814,,,,,M,10336,,,
M,2796,,,,,M,4333,,,
M,658,,,,,M,8996,,,
M,6059,,,,,M,34831,,,
M,3246,,,,,M,1618,,,
M,2297,,,,,M,562,,,
M,556,,,,,M,18173,,,
F,1021,,,,,M,5829,,,
M,1742,,,,,M,3443,,,
M,8149,,,,,M,3315,,,
M,10793,,,,,M,3294,,,
M,11084,,,,,M,4842,,,
M,9647,,,,,M,10873,,,
M,6962,,,,,M,695,,,
M,20497,,,,,M,1177,,,
F,2672,,,,,M,806,,,
F,4637,,,,,M,1151,,,
F,7399,,,,,M,481,,,
F,9008,,,,,M,4474,,,
M,3172,,,,,M,1504,,,
M,5735,,,,,M,29000,,,
M,6093,,,,,M,779,,,
M,1735,,,,,M,103,,,
M,1754,,,,,M,7097,,,
M,1048,,,,,M,2255,,,
M,688,,,,,M,3822,,,
M,11536,,,,,M,3267,,,
M,5463,,,,,M,2644,,,
F,7024,,,,,M,8721,,,
M,4868,,,,,M,2274,,,
M,6985,,,,,M,2697,,,
M,25131,,,,,M,28009,,,
M,367,,,,,M,4276,,,
M,777,,,,,M,3561,,,
F,621,,,,,M,4604,,,
F,4806,,,,,M,18765,,,
M,14193,,,,,M,7724,,,
M,1798403,,,,,M,6651,,,
F,4349,,,,,M,9022,,,
M,7177,,,,,M,3449,,,
M,13891,,,,,M,17603,,,
M,6984,,,,,M,726,,,
M,3310,,,,,M,5724,,,
M,10106,,,,,M,3180,,,
M,24688,,,,,M,3566,,,
F,17446,,,,,M,177324,,,
M,8821,,,,,M,322,,,
M,7807,,,,,M,1593,,,
M,9765,,,,,M,634,,,
F,12497,,,,,M,333,,,
M,5260,,,,,M,7188,,,
M,2372,,,,,M,13199,,,
M,6449,,,,,M,4328,,,
F,2646,,,,,M,98852,,,
M,6122,,,,,M,6653,,,
F,6641,,,,,M,8905,,,
M,3863,,,,,M,1351,,,
F,15964,,,,,M,3211,,,
M,10336,,,,,M,2239,,,
M,4333,,,,,M,343185,,,
M,8996,,,,,M,3468,,,
F,14279,,,,,M,7337,,,
F,7883,,,,,M,2495,,,
F,4421,,,,,M,14189,,,
M,34831,,,,,M,7337,,,
M,1618,,,,,M,10503,,,
F,3972,,,,,M,5645,,,
M,562,,,,,M,10014,,,
M,18173,,,,,M,2772,,,
M,5829,,,,,M,4094,,,
M,3443,,,,,M,3863,,,
M,3315,,,,,M,4066,,,
M,3294,,,,,M,4631,,,
M,4842,,,,,M,6504,,,
M,10873,,,,,M,5718,,,
M,695,,,,,M,2952,,,
M,1177,,,,,M,11845,,,
F,1082,,,,,M,800,,,
M,806,,,,,M,340,,,
M,1151,,,,,M,511,,,
M,481,,,,,M,833,,,
M,4474,,,,,M,149654,,,
M,1504,,,,,M,52147,,,
M,29000,,,,,M,4410,,,
M,779,,,,,M,384,,,
F,9051,,,,,M,7001,,,
F,3670,,,,,M,9741,,,
M,103,,,,,M,8469,,,
M,7097,,,,,M,3918,,,
F,10298,,,,,M,9283,,,
M,2255,,,,,M,5448,,,
M,3822,,,,,M,9884,,,
F,484,,,,,M,17196,,,
M,3267,,,,,M,1795,,,
M,2644,,,,,M,4834,,,
M,8721,,,,,M,7287,,,
M,2274,,,,,M,3418,,,
F,320304,,,,,M,4955,,,
M,2697,,,,,M,1494,,,
M,28009,,,,,M,15441,,,
M,4276,,,,,M,5965,,,
M,3561,,,,,M,6919,,,
M,4604,,,,,M,23738,,,
M,18765,,,,,M,4495,,,
M,7724,,,,,M,4468,,,
M,6651,,,,,M,2592,,,
M,9022,,,,,M,3958,,,
M,3449,,,,,M,521,,,
M,17603,,,,,M,523,,,
F,8243,,,,,M,1260,,,
M,726,,,,,M,2127,,,
M,5724,,,,,M,1086,,,
M,3180,,,,,M,14098,,,
M,3566,,,,,M,2764,,,
M,177324,,,,,M,5761,,,
M,322,,,,,M,19941,,,
M,1593,,,,,M,327,,,
M,634,,,,,M,3258,,,
M,333,,,,,M,6271,,,
M,7188,,,,,M,4947,,,
M,13199,,,,,M,3436,,,
M,4328,,,,,M,964,,,
M,98852,,,,,M,7047,,,
M,6653,,,,,M,20257,,,
M,8905,,,,,M,8888,,,
M,1351,,,,,M,2476,,,
F,16022,,,,,M,11979,,,
F,1081,,,,,M,343,,,
M,3211,,,,,M,518,,,
M,2239,,,,,M,276,,,
M,343185,,,,,M,1629,,,
M,3468,,,,,M,1470,,,
M,7337,,,,,M,1787,,,
M,2495,,,,,M,5674,,,
M,14189,,,,,M,2883,,,
M,7337,,,,,M,15364,,,
M,10503,,,,,M,7447,,,
M,5645,,,,,M,1958,,,
M,10014,,,,,M,3903,,,
M,2772,,,,,M,5037,,,
M,4094,,,,,M,9581,,,
M,3863,,,,,M,10510,,,
M,4066,,,,,M,38491,,,
M,4631,,,,,M,2725,,,
F,6132,,,,,M,4693,,,
M,6504,,,,,M,377,,,
M,5718,,,,,M,337,,,
M,2952,,,,,M,162,,,
M,11845,,,,,M,5469,,,
M,800,,,,,M,4410,,,
M,340,,,,,M,4419,,,
M,511,,,,,M,4085,,,
M,833,,,,,M,519,,,
F,11780,,,,,,,,,
M,149654,,,,,,,,,
M,52147,,,,,,,,,
M,4410,,,,,,,,,
M,384,,,,,,,,,
M,7001,,,,,,,,,
M,9741,,,,,,,,,
M,8469,,,,,,,,,
M,3918,,,,,,,,,
M,9283,,,,,,,,,
F,6089,,,,,,,,,
M,5448,,,,,,,,,
M,9884,,,,,,,,,
F,10590,,,,,,,,,
M,17196,,,,,,,,,
F,10339,,,,,,,,,
M,1795,,,,,,,,,
M,4834,,,,,,,,,
M,7287,,,,,,,,,
F,3009,,,,,,,,,
M,3418,,,,,,,,,
M,4955,,,,,,,,,
F,640,,,,,,,,,
M,1494,,,,,,,,,
F,8337,,,,,,,,,
M,15441,,,,,,,,,
M,5965,,,,,,,,,
F,9854,,,,,,,,,
M,6919,,,,,,,,,
M,23738,,,,,,,,,
F,3593,,,,,,,,,
M,4495,,,,,,,,,
M,4468,,,,,,,,,
M,2592,,,,,,,,,
M,3958,,,,,,,,,
M,521,,,,,,,,,
F,1919,,,,,,,,,
M,523,,,,,,,,,
M,1260,,,,,,,,,
M,2127,,,,,,,,,
M,1086,,,,,,,,,
M,14098,,,,,,,,,
M,2764,,,,,,,,,
M,5761,,,,,,,,,
M,19941,,,,,,,,,
M,327,,,,,,,,,
M,3258,,,,,,,,,
F,4288,,,,,,,,,
M,6271,,,,,,,,,
F,2467,,,,,,,,,
M,4947,,,,,,,,,
M,3436,,,,,,,,,
M,964,,,,,,,,,
M,7047,,,,,,,,,
M,20257,,,,,,,,,
M,8888,,,,,,,,,
F,2482,,,,,,,,,
M,2476,,,,,,,,,
M,11979,,,,,,,,,
M,343,,,,,,,,,
M,518,,,,,,,,,
M,276,,,,,,,,,
F,16922,,,,,,,,,
M,1629,,,,,,,,,
M,1470,,,,,,,,,
M,1787,,,,,,,,,
M,5674,,,,,,,,,
M,2883,,,,,,,,,
M,15364,,,,,,,,,
M,7447,,,,,,,,,
M,1958,,,,,,,,,
M,3903,,,,,,,,,
M,5037,,,,,,,,,
M,9581,,,,,,,,,
M,10510,,,,,,,,,
M,38491,,,,,,,,,
M,2725,,,,,,,,,
F,3978,,,,,,,,,
M,4693,,,,,,,,,
F,1405,,,,,,,,,
F,625,,,,,,,,,
M,377,,,,,,,,,
M,337,,,,,,,,,
M,162,,,,,,,,,
F,15942,,,,,,,,,
M,5469,,,,,,,,,
M,4410,,,,,,,,,
M,4419,,,,,,,,,
M,4085,,,,,,,,,
M,519,,,,,,,,,
