R,14.0233,,D,25.4722,,R,14.0233,,I,64.6667,,
R,12.3721,,D,18.3846,,R,12.3721,,I,131.0208,,
R,7,,D,7.7143,,R,7,,,,,
R,144.2593,,D,17.1754,,R,144.2593,,,,,
R,24.4706,,D,23.5652,,R,24.4706,,,,,
R,8.8095,,D,17.1277,,R,8.8095,,,,,
R,13.52,,D,11.0571,,R,13.52,,,only for R vs. D,,
D,25.4722,,D,13.7059,,R,52.82,,,p-value,0.238769113,"(two-tail, assumed different standard deviations)"
D,18.3846,,D,6.2414,,R,151.1739,,,,,
D,7.7143,,D,15.625,,R,40.36,,,,,
R,52.82,,D,8.898,,R,19.42,,,,,
R,151.1739,,D,78.7917,,R,12.7917,,,,,
D,17.1754,,D,57.6429,,R,41.5,,,,,
R,40.36,,D,22.7857,,R,16.6774,,,,,
D,23.5652,,D,39,,R,44.875,,,,,
D,17.1277,,D,52.0833,,R,0,,,,,
R,19.42,,D,19.9091,,R,5.1154,,,,,
D,11.0571,,D,30.3333,,R,38.3846,,,,,
R,12.7917,,D,66,,R,42.7347,,,,,
D,13.7059,,D,39.25,,R,27.6,,,,,
R,41.5,,D,6.3421,,R,31.5333,,,,,
R,16.6774,,D,46.6316,,R,16.2941,,,,,
D,6.2414,,D,68.1923,,R,32.8889,,,,,
R,44.875,,D,29.6,,R,5.2308,,,,,
R,0,,D,15.6129,,R,33.3684,,,,,
D,15.625,,D,12.3714,,R,9.0741,,,,,
D,8.898,,D,8.16,,R,63.3333,,,,,
R,5.1154,,D,40.4783,,R,15.25,,,,,
R,38.3846,,D,14.2105,,R,48,,,,,
R,42.7347,,D,11.2308,,R,96.5,,,,,
D,78.7917,,D,20.6364,,R,24.6667,,,,,
R,27.6,,D,26.8966,,R,23.3,,,,,
R,31.5333,,D,69,,R,28.6327,,,,,
R,16.2941,,D,25.3333,,R,15.8148,,,,,
D,57.6429,,D,58.0476,,R,38.25,,,,,
D,22.7857,,D,14.125,,R,39,,,,,
R,32.8889,,D,33.8,,R,22.9545,,,,,
D,39,,D,44.9762,,R,15.3654,,,,,
R,5.2308,,D,25.4194,,R,20.8182,,,,,
R,33.3684,,D,37.2222,,R,152.8,,,,,
R,9.0741,,D,2.0667,,R,12.8235,,,,,
R,63.3333,,D,76.9375,,R,8.62,,,,,
D,52.0833,,D,60.8571,,R,96.2941,,,,,
D,19.9091,,D,14.4074,,R,21.5161,,,,,
D,30.3333,,D,7.0385,,R,10.7143,,,,,
R,15.25,,D,15,,R,48,,,,,
R,48,,D,41.4571,,R,1.0204,,,,,
R,96.5,,D,43.0526,,R,144.2097,,,,,
R,24.6667,,D,25.4412,,R,18.0435,,,,,
D,66,,D,7.2128,,R,11.7692,,,,,
D,39.25,,D,65.3846,,R,21.0233,,,,,
R,23.3,,D,23.4828,,R,68.3962,,,,,
R,28.6327,,D,21.5714,,R,25.3333,,,,,
D,6.3421,,D,31.25,,R,15.7037,,,,,
