R,0,,D,0,,R,0,,I,0.0002,,
R,0.0001,,D,0,,R,0.0001,,I,0.0018,,
R,0,,D,0.0001,,R,0,,,,,
R,0.0001,,D,0,,R,0.0001,,,,,
R,0.0004,,D,0,,R,0.0004,,,,,
R,0,,D,0,,R,0,,,,,
R,0,,D,0,,R,0,,,,,
D,0,,D,0.0001,,R,0.0013,,,only for R vs. D,,
D,0,,D,0,,R,0.0012,,,p-value,0.079641881,"(two-tail, assumed different standard deviations)"
D,0.0001,,D,0,,R,0,,,,,
R,0.0013,,D,0.0037,,R,0.0004,,,,,
R,0.0012,,D,0.0007,,R,0.0001,,,,,
D,0,,D,0,,R,0.0003,,,,,
R,0,,D,0.0004,,R,0.0001,,,,,
D,0,,D,0.0001,,R,0,,,,,
D,0,,D,0.0002,,R,0,,,,,
R,0.0004,,D,0,,R,0,,,,,
D,0,,D,0.0001,,R,0.0007,,,,,
R,0.0001,,D,0,,R,0.0001,,,,,
D,0.0001,,D,0,,R,0.0006,,,,,
R,0.0003,,D,0,,R,0.0006,,,,,
R,0.0001,,D,0.0005,,R,0.0002,,,,,
R,0,,D,0.0002,,R,0.0001,,,,,
R,0,,D,0,,R,0.0008,,,,,
D,0,,D,0,,R,0.0002,,,,,
D,0,,D,0,,R,0.0004,,,,,
R,0,,D,0,,R,0.0001,,,,,
R,0.0007,,D,0,,R,0,,,,,
R,0.0001,,D,0.0001,,R,0.0001,,,,,
D,0.0037,,D,0.0001,,R,0.0001,,,,,
R,0.0006,,D,0.0001,,R,0,,,,,
R,0.0006,,D,0,,R,0,,,,,
R,0.0002,,D,0.0005,,R,0.0007,,,,,
D,0.0007,,D,0,,R,0.0001,,,,,
D,0,,D,0.0001,,R,0,,,,,
R,0.0001,,D,0,,R,0.0001,,,,,
D,0.0004,,D,0,,R,0,,,,,
R,0.0008,,D,0.0008,,R,0,,,,,
R,0.0002,,D,0.0001,,R,0.0001,,,,,
R,0.0004,,D,0.0001,,R,0.0002,,,,,
R,0.0001,,D,0,,R,0.0004,,,,,
D,0.0001,,D,0,,R,0,,,,,
D,0.0002,,D,0.0001,,R,0.0011,,,,,
D,0,,D,0.0014,,R,0.0004,,,,,
R,0,,D,0.0002,,R,0,,,,,
R,0.0001,,D,0.0001,,R,0.0001,,,,,
R,0.0001,,D,0,,R,0,,,,,
R,0,,D,0,,R,0.0003,,,,,
D,0.0001,,D,0.0001,,R,0.0001,,,,,
D,0,,D,0,,R,0,,,,,
R,0,,D,0,,R,0.0001,,,,,
