RepEliotEngel,433,3403,542,36.1266589506
RepAnnaEshoo,552,5147,265,28.9238406636
SenatorEnzi,475,3234,243,26.1671141975
keithellison,4875,43956,1773,64.3585138889
repdonnaedwards,1917,11084,193,44.9662361111
RepReneeEllmers,2733,8764,4303,31.9701415895
repbillenyart,32,521,11,5.63341203704
RepEsty,221,1559,395,5.72939814815
RepSamFarr,436,4714,513,36.6336983025
chakafattah,4796,7430,984,48.9612561728
senfeinstein,691,19777,122,17.1550725309
jeffflake,526,19371,200,58.6649344136
Randy_Forbes,2368,10314,5052,61.0961466049
RepTrentFranks,851,10113,1185,52.0587581019
JeffFortenberry,1080,7824,2106,54.2646265432
virginiafoxx,1832,10130,1270,58.2364834105
RepFitzpatrick,1152,4099,475,29.7862824074
RepBillFoster,294,966,1080,5.49511728395
RepMarciaFudge,1250,7805,1117,37.0970405093
RepFleming,791,7072,212,44.7000871914
RepFincherTN08,1155,3874,612,28.9310617284
RepChuck,947,4056,620,29.9986072531
farenthold,2710,5049,757,55.4364228395
RepBillFlores,2009,6164,1317,29.8325455247
RepLoisFrankel,215,1075,233,5.53027160494
SenatorFischer,250,3189,104,5.59715895062
RepGoodlatte,1639,8167,147,50.403413966
GrahamBlog,2581,44967,2176,62.069191358
RepKayGranger,929,5626,885,36.3312866512
ChuckGrassley,2662,69820,14899,67.9326253858
RepGeneGreen,181,3600,159,41.1974363426
LuisGutierrez,1790,23678,164,50.5357094907
repgarrett,304,1191,169,7.23197993827
JimGerlach,596,6272,185,49.9606959877
RepPhilGingrey,1562,11419,1032,50.9965165895
repraulgrijalva,1178,9621,242,51.4650698302
replouiegohmert,1830,11175,276,52.6594031636
RepAlGreen,162,4088,28,36.8314891975
RepGaramendi,5693,7529,6664,44.1201280864
reptomgraves,1766,6773,3078,33.8644529321
repcorygardner,679,3244,439,29.9971720679
repbobgibbs,1150,4914,3239,30.0301720679
RepChrisGibson,179,3524,173,30.0217037037
RepGosar,3041,7532,2783,29.562878858
tgowdysc,949,21308,349,29.8306423611
RepTimGriffin,5079,8528,3609,32.9538533951
RepMGriffith,595,4403,379,30.0943391204
repmichaelgrimm,205,3755,76,29.9956597222
tulsipress,221,1315,122,5.68895987654
RepPeteGallego,706,1206,467,5.58629513889
SenatorHarkin,1758,12656,63,40.7280929784
DocHastings,519,2220,592,20.1042121914
SenOrrinHatch,878,6438,37,27.9957569444
USRepRHinojosa,776,3586,375,29.6288869599
WhipHoyer,4242,31515,1601,52.6677781636
RepMikeHonda,767,10426,212,57.5273734568
RepHensarling,406,8779,233,54.4887067901
RepBrianHiggins,4108,9198,1183,50.8989351852
SenDeanHeller,1558,6798,568,27.796527392
maziehirono,2794,7974,1113,43.6497804784
GreggHarper,1430,9091,375,52.2513491512
martinheinrich,244,1610,10,5.29251967593
jahimes,3197,9850,607,51.0519128086
SenatorHagan,2087,16403,443,46.0017847222
RepHanabusa,674,3873,742,29.9858213735
RepRichardHanna,1465,4556,347,29.8644972994
repandyharrismd,399,1373,216,7.2284679784
RepHartzler,1724,4695,437,29.7991300154
RepJoeHeck,1704,4732,76,31.187538966
herrerabeutler,94,3861,1078,29.3894579475
conghuelskamp,2728,6373,1700,30.1184776235
rephuizenga,2720,5645,2922,30.1013858025
rephultgren,1108,4735,1693,29.7957789352
RepRobertHurt,1246,4529,525,30.0291531636
SenJohnHoeven,192,3345,46,21.1306917438
Rep_JaniceHahn,707,3090,755,23.4953479938
RepDennyHeck,247,753,0,5.6334679784
RepHolding,182,1048,235,5.76189429012
RepHorsford,480,2064,533,20.7189359568
RepRichHudson,630,1681,790,7.6296404321
RepHuffman,177,893,45,5.6002195216
SenatorHeitkamp,392,2932,69,5.72925231481
InhofePress,3688,8518,3018,53.191404321
DarrellIssa,14646,101921,35187,52.5296882716
RepSteveIsrael,1256,10865,234,53.4253715278
JacksonLeeTX18,795,7721,320,45.2330636574
RepEBJ,3694,6482,809,35.7355505401
SamsPressShop,212,2052,153,28.927785108
SenJohnsonSD,1045,6981,50,29.2908283179
RepWalterJones,747,8709,123,51.7335806327
RepHankJohnson,1333,7711,315,52.0627048611
Jim_Jordan,776,14767,5240,55.0634556327
RepLynnJenkins,2991,10314,4463,53.6321226852
Mike_Johanns,570,7341,139,33.4931898148
repbilljohnson,1479,4770,544,32.1687191358
SenRonJohnson,692,16152,80,30.1202847222
RepDaveJoyce,773,1490,2001,6.95809104938
RepMarcyKaptur,160,1383,159,13.5320354938
repronkind,461,4610,545,41.0663834877
RepPeteKing,1517,14309,91,54.9169510031
JackKingston,1008,8442,372,50.5710393519
senatorkirk,2178,19346,1722,32.1641346451
stevekingia,652,16777,50,48.9595408951
repjohnkline,1659,5231,188,45.7351415895
RepKirkpatrick,301,1395,862,5.39323958333
USRepKeating,436,3154,591,30.1875721451
MikeKellyPA,183,3599,303,7.62570756173
RepKinzinger,790,6720,821,31.45828125
RepJoeKennedy,375,4911,73,5.79371219136
RepDanKildee,300,3350,2142,5.93324498457
RepDerekKilmer,144,982,23,5.75664236111
RepAnnieKuster,388,1752,1890,5.75908873457
SenAngusKing,311,2913,222,5.63355478395
TomLatham,805,8686,1071,68.4984320988
franklautenberg,1805,11907,105,38.7242141204
SenatorLeahy,2024,13919,55,29.3954155093
sencarllevin,379,11552,2,43.4188009259
repsandylevin,662,7765,4275,51.8829467593
RepJohnLewis,820,22929,168,51.3367218364
RepZoeLofgren,497,3297,42,27.693285108
NitaLowey,557,5355,390,31.231474537
senlandrieu,1040,9053,158,19.5897137346
repbarbaralee,1224,10454,551,28.9649965278
RepLoBiondo,1240,3651,143,29.5288784722
repjohnlarson,915,6336,322,48.7256674383
jimlangevin,806,6595,1516,54.162023534
RepRickLarsen,1296,2075,1068,20.0031643519
RepStephenLynch,255,2307,145,25.1020327932
RepDLamborn,447,1442,452,13.4336847994
daveloebsack,90,1002,505,16.0311199846
boblatta,3678,12154,4736,60.3301643519
repbenraylujan,723,5894,138,53.8531477623
CynthiaLummis,1007,7677,6189,52.4590636574
Raul_Labrador,569,5429,499,29.1317056327
replankford,1747,7908,417,30.8593387346
SenMikeLee,2052,35181,2023,44.1228885031
RepLaMalfa,149,575,711,5.62658834877
RepLowenthal,285,1204,1433,5.79595061728
replujangrisham,167,1076,238,5.72570794753
RepMaloney,497,5388,3300,28.2613383488
markeymemo,2472,15508,69,52.8659070216
SenJohnMcCain,5182,1811420,292,53.8021801698
RepMcCarthyNY,186,4507,57,37.3319780093
RepMcGovern,1506,7954,484,29.4277341821
McConnellPress,2605,18682,185,23.4970192901
RepJimMcDermott,1188,7947,614,39.0011458333
repmikemcintyre,1200,3751,136,31.6256469907
BuckMcKeon,1312,10733,5227,58.0337920525
SenatorMenendez,2484,27411,481,54.3586948302
senatorbarb,2133,19694,8,38.9946805556
askgeorge,1736,9544,568,72.5919552469
Jim_Moran,937,8403,194,49.0295509259
JerryMoran,1602,11347,1191,54.4011925154
pattymurray,2489,14888,1546,26.0942897377
GregoryMeeks,895,5898,148,52.4620478395
repgarymiller,231,2907,50,36.8973209877
RepJimMatheson,1063,6979,82,49.2190181327
BettyMcCollum04,1843,3097,689,15.8589074074
RepMikeMichaud,399,6567,7,53.4633043981
CandiceMiller,380,7185,407,60.6952719907
RepTimMurphy,767,4418,451,40.4993302469
lisamurkowski,1812,18141,326,55.2241141975
PatrickMcHenry,1758,11957,3866,51.5994077932
McCaulPressShop,412,4970,107,51.7838634259
RepKenMarchant,4337,9738,2235,52.1999490741
cathymcmorris,3005,14911,5124,55.3222191358
RepGwenMoore,2081,8638,365,52.4933838735
DorisMatsui,674,5162,1399,50.3624147377
GOPWhip,4216,37818,10972,53.5900084877
RepMcNerney,346,1991,175,20.9700050154
mccaskilloffice,1746,4349,1426,48.0328032407
RepDanMaffei,270,876,8,5.76846412037
SenJeffMerkley,1106,20632,99,51.3703375772
RepMcClintock,160,6323,0,48.7554660494
RepTomMarino,1070,4148,394,29.5945790895
RepMcKinley,868,4001,186,29.5900069444
repmeehan,871,4151,618,28.95828125
repmickmulvaney,583,5496,4599,29.5930250772
Sen_JoeManchin,1249,13498,577,30.0681439043
RepSeanMaloney,315,1060,276,5.5865007716
RepMarkMeadows,247,1746,1498,7.18464274691
RepGraceMeng,450,1590,382,5.85946141975
RepLukeMesser,326,1393,523,5.92664891975
RepMullin,270,1702,1038,5.73688734568
RepMurphyFL,207,799,53,4.92964891975
RepJerryNadler,573,5035,919,50.0634220679
RepRichardNeal,301,1783,12,18.4013661265
SenBillNelson,402,30566,73,53.1660439815
usrepricknolan,236,1199,304,5.7964375
EleanorNorton,675,9810,43,52.2687453704
gracenapolitano,677,4362,185,36.3617935957
Rep_DevinNunes,2,159,0,23.2258618827
RandyNeugebauer,2720,7718,2438,50.8312789352
repkristinoem,1221,11002,324,29.9952098765
RepRichNugent,64,2323,172,29.8964969136
repalannunnelee,912,4335,407,29.5936859568
RepMcLeod,123,774,151,6.19210108025
OlsonPressShop,2318,3527,1326,53.4025671296
BillOwensNY,1639,3008,666,30.7579293981
FrankPallone,4226,9415,510,51.0370378086
BillPascrell,443,2485,0,45.964755787
NancyPelosi,1409,345520,262,59.4346520062
RepJoePitts,505,3415,50,33.1685698302
robportman,2742,30852,1647,54.1591512346
RepDavidEPrice,1019,4692,2340,36.8955543981
RepStevePearce,1699,4198,617,29.9941512346
senmarkpryor,973,6521,178,19.0348024691
RepTomPrice,3423,19867,3126,73.7626724537
JudgeTedPoe,1754,8587,473,45.9998082562
RepPerlmutter,630,7211,71,53.1906080247
RepErikPaulsen,2063,9596,2196,55.9334205247
RepGaryPeters,1071,4094,311,29.89478125
pedropierluisi,4900,19558,5461,50.766404321
chelliepingree,948,8669,259,61.6278298611
RepPolisPress,410,1024,568,17.6280767747
congbillposey,1022,6266,927,52.0020030864
congpalazzo,745,3618,1347,25.6939776235
repmikepompeo,1235,4383,1217,29.2897554012
SenRandPaul,1091,218856,261,31.6884189815
RepDonaldPayne,267,580,269,4.62314158951
RepScottPerry,408,2049,1007,54.2958877315
RepPittenger,450,1002,812,7.39446720679
RepScottPeters,589,808,287,4.85565123457
RepMikeQuigley,2838,7748,1544,48.0560574846
cbrangel,2234,14095,2676,52.8989641204
SenJackReed,1090,5435,0,16.7668614969
SenatorReid,1895,113572,138,57.1289421296
senpatroberts,613,8191,550,45.8624425154
senrockefeller,2475,10331,625,27.3304930556
RepHalRogers,475,1740,337,14.6952114198
RosLehtinen,8646,20384,1053,63.7021527778
RepRoybalAllard,266,1346,229,17.0250420525
RepEdRoyce,802,4093,398,29.1039884259
RepBobbyRush,411,2614,118,25.3938225309
reppaulryan,1198,356424,1,54.1583599537
RepMikeRogers,590,4886,206,36.7986188272
RepMikeRogersAL,1417,8183,2882,50.8650266204
Call_Me_Dutch,1048,2966,995,25.3692939815
RepTimRyan,1213,15046,1034,65.2577569444
davereichert,1240,7802,3082,58.5615794753
PeterRoskam,2658,11231,4320,53.4213136574
DrPhilRoe,1018,6208,197,48.5283595679
TomRooney,1953,10827,4667,52.2011118827
RepTomReed,448,3337,128,28.6881716821
repjimrenacci,1399,4842,500,29.8641705247
RepRibble,443,4513,520,30.0952959105
reprichmond,925,4543,1325,27.698658179
repscottrigell,1685,5255,2271,31.2317326389
RepMarthaRoby,2557,7434,1462,30.9980632716
ToddRokita,2737,7209,3164,55.893564429
RepJonRunyan,415,3424,57,25.1613410494
SenRubioPress,1146,13060,93,30.4919008488
RepTomRice,169,1219,218,5.76383912037
KeithRothfus,358,705,445,4.62456828704
CongressmanRuiz,89,818,1,5.39523726852
RepMattSalmon,318,1428,691,5.5881257716
lorettasanchez,1359,12322,12747,41.5616859568
sensanders,6858,160946,1174,51.3382044753
chuckschumer,2198,58263,27713,55.9602476852
repbobbyscott,434,5015,873,36.3286122685
JimPressOffice,127,657,182,8.99586844136
repjoseserrano,1135,7698,394,50.9006053241
petesessions,2211,10567,609,52.0647743056
SenShelbyPress,120,10036,136,52.963412037
BradSherman,357,4438,14,51.2373861883
RepShimkus,5705,9769,807,59.8660158179
louiseslaughter,767,6752,168,47.3342604167
Rep_Adam_Smith,856,6118,933,47.8264182099
LamarSmithTX21,690,10518,3572,59.1925821759
StabenowPress,724,12090,2336,45.7264575617
SenatorSessions,1411,20956,99,48.9696554784
janschakowsky,1152,11256,620,52.1673607253
CongMikeSimpson,132,2041,35,45.7612696759
RepAdamSchiff,826,5678,816,51.3314517747
RepBillShuster,1792,7961,703,52.5270667438
replindasanchez,931,3575,813,24.9999247685
repdavidscott,521,3974,231,35.7036338735
Rep_Albio_Sires,833,5418,164,54.358910108
RepSheaPorter,158,999,424,39.6209436728
RepAdrianSmith,536,1793,144,25.9054525463
repspeier,1123,9361,818,52.0329849537
repaaronschock,2025,16452,824,52.20378125
repschrader,815,6543,596,53.1926682099
SenatorShaheen,2151,11392,5690,41.4672430556
RepDavid,1959,7572,1470,30.5611022377
SenatorTimScott,1483,29209,1477,31.6266936728
RepTerriSewell,607,4120,347,21.2277743056
Rep_Southerland,445,5193,519,29.7990621142
RepSteveStivers,871,5106,809,32.1817156636
RepStutzman,782,3167,220,32.1344320988
AustinScottGA08,763,4675,210,30.0330088735
RepSchneider,268,905,300,5.59417901235
RepSinema,830,2944,655,5.49344328704
repchrisstewart,204,950,544,5.59258101852
