repdinatitus,Rep,Dina,Titus,D,NV,F,62
PaulTonko,Rep,Paul,Tonko,D,NY,M,63
RepTipton,Rep,Scott,Tipton,R,CO,M,56
RepMarkTakano,Rep,Mark,Takano,D,CA,M,52
RepFredUpton,Rep,Fred,Upton,R,MI,M,59
MarkUdall,Sen,Mark,Udall,D,CO,M,62
SenatorTomUdall,Sen,Tom,Udall,D,NM,M,64
NydiaVelazquez,Rep,Nydia,Velázquez,D,NY,F,60
repvisclosky,Rep,Peter,Visclosky,D,IN,M,63
chrisvanhollen,Rep,Chris,Van Hollen,D,MD,M,54
RepDavidValadao,Rep,David,Valadao,R,CA,M,35
RepVeasey,Rep,Marc,Veasey,D,TX,M,42
RepFilemonVela,Rep,Filemon,Vela,D,TX,M,50
MaxineWaters,Rep,Maxine,Waters,D,CA,F,74
MelWattNC12,Rep,Melvin,Watt,D,NC,M,67
WaxmanClimate,Rep,Henry,Waxman,D,CA,M,73
repedwhitfield,Rep,Ed,Whitfield,R,KY,M,69
senatorwicker,Sen,Roger,Wicker,R,MS,M,61
RepWOLFPress,Rep,Frank,Wolf,R,VA,M,74
RonWyden,Sen,Ron,Wyden,D,OR,M,63
repgregwalden,Rep,Greg,Walden,R,OR,M,56
USRepJoeWilson,Rep,Joe,Wilson,R,SC,M,65
repwestmoreland,Rep,Lynn,Westmoreland,R,GA,M,63
RepWalberg,Rep,Tim,Walberg,R,MI,M,61
SenWhitehouse,Sen,Sheldon,Whitehouse,D,RI,M,57
RobWittman,Rep,Robert,Wittman,R,VA,M,54
MarkWarner,Sen,Mark,Warner,D,VA,M,58
RepWebster,Rep,Daniel,Webster,R,FL,M,63
RepWilson,Rep,Frederica,Wilson,D,FL,F,70
Rep_SteveWomack,Rep,Steve,Womack,R,AR,M,56
RepAnnWagner,Rep,Ann,Wagner,R,MO,F,50
RepWalorski,Rep,Jackie,Walorski,R,IN,F,49
TXRandy14,Rep,Randy,Weber,R,TX,M,59
RepBradWenstrup,Rep,Brad,Wenstrup,R,OH,M,54
RepRWilliams,Rep,Roger,Williams,R,TX,M,63
senwarren,Sen,Elizabeth,Warren,D,MA,F,63
repdonyoung,Rep,Don,Young,R,AK,M,79
RepJohnYarmuth,Rep,John,Yarmuth,D,KY,M,65
RepKevinYoder,Rep,Kevin,Yoder,R,KS,M,37
RepToddYoung,Rep,Todd,Young,R,IN,M,40
RepTedYoho,Rep,Ted,Yoho,R,FL,M,57
